TradeMaximizer Version 1.4a
Options: ALLOW-DUMMIES LINEAR-PRIORITIES REQUIRE-COLONS REQUIRE-USERNAMES SHOW-MISSING SMALL-STEP=0 BIG-STEP=1

Input Checksum: 19d9f1d4e29eba6388ab9ad9a3e976c6
ERRORS:
**** Item %BULLET for user (JINGOWAWA) is repeated in want list for 1314.
**** Item %BULLET for user (JINGOWAWA) is repeated in want list for 1317.
**** Item %BULLET for user (JINGOWAWA) is repeated in want list for 1322.
**** Item %ICAION for user (HYNIKS) is repeated in want list for 1769.
**** Item %TSUKUYUMI_FULL_MOON_DOWN_SECOND_EDITION____TSUKUYUMI_SUNRISE_KINGDOM___TSUKUYUMI_CHRONOMASTERS___TSUKUYUMI_SENTINELS___TSUKUYUMI_FULL_MOON_DOWN_FIREBORN_EXPANSION___TSUKUYUMI_FULL_MOON_DOWN_LORDS_OF_THE_LOST_SEA_EXPANSION___TSUKUYUMI_FULL_MOON_DOWN_SENTINELS_EXPANSION for user (HYNIKS) is repeated in want list for 1771.
**** Item 2042 is repeated in want list for 245.
**** Item 2042 is repeated in want list for 2523.
**** Item 2042 is repeated in want list for 513.
**** Item 2042 is repeated in want list for 520.
**** Item 217 is repeated in want list for 2523.
**** Item 217 is repeated in want list for 513.
**** Item 217 is repeated in want list for 520.
**** Item 2427 is repeated in want list for 2068.
**** Item 2873 is repeated in want list for 2806.
**** Item 2873 is repeated in want list for 2809.
**** Item 2873 is repeated in want list for 2815.
**** Item 2873 is repeated in want list for 2816.
**** Item 2873 is repeated in want list for 2821.
**** Item 2873 is repeated in want list for 2831.
**** Item 2934 is repeated in want list for 2379.
**** Item 2934 is repeated in want list for 2380.
**** Item 2934 is repeated in want list for 2382.
**** Item 2934 is repeated in want list for 2383.
**** Item 2934 is repeated in want list for 2384.
**** Item 2934 is repeated in want list for 2385.
**** Item 2934 is repeated in want list for 2386.
**** Item 2934 is repeated in want list for 2388.
**** Item 2934 is repeated in want list for 2392.
**** Item 2934 is repeated in want list for 2395.
**** Item 2934 is repeated in want list for 2406.
**** Item 2934 is repeated in want list for 2407.
**** Item 2934 is repeated in want list for 2410.
**** Item 2934 is repeated in want list for 2412.
**** Item 2934 is repeated in want list for 2414.
**** Item 2934 is repeated in want list for 2415.
**** Item 2934 is repeated in want list for 2419.
**** Item 2934 is repeated in want list for 2423.
**** Item 834 is repeated in want list for 2042.
**** Item 96 is repeated in want list for 2074.
**** Unknown item %7_WONDERS_DUEL for user (PIOTREKPIOTREK) (1 occurrence)
**** Unknown item %HEGEMONY_LEAD_YOUR_CLASS_TO_VICTORY_HEGEMONY_LEAD_YOUR_CLASS_TO_VICTORY_CRISIS_CONTROL_HEGEMONY_LEAD_YOUR_CLASS_TO_VICTORY_HISTORICAL_EVENTS for user (YAVI) (4 occurrences)
**** Unknown item %HIGH_FRONTIER_4_ALL for user (YAVI) (2 occurrences)
**** Unknown item %KNOCKDOWN_VOLUME_II_KNOCKDOWN_VOLUME_III for user (MEFIUG) (19 occurrences)
**** Unknown item %WAR_CHEST for user (YOSEK) (1 occurrence)
**** Unknown item 1146, (1 occurrence)
**** Unknown item 12214 (1 occurrence)
**** Unknown item 12230 (1 occurrence)
**** Unknown item 1310, (1 occurrence)
**** Unknown item 1313, (4 occurrences)
**** Unknown item 1372, (4 occurrences)
**** Unknown item 1375, (3 occurrences)
**** Unknown item 1404209 (1 occurrence)
**** Unknown item 1487, (3 occurrences)
**** Unknown item 154 (1 occurrence)
**** Unknown item 155 (3 occurrences)
**** Unknown item 156 (4 occurrences)
**** Unknown item 158 (3 occurrences)
**** Unknown item 159 (1 occurrence)
**** Unknown item 160 (2 occurrences)
**** Unknown item 161 (10 occurrences)
**** Unknown item 1615, (1 occurrence)
**** Unknown item 162 (12 occurrences)
**** Unknown item 1623, (2 occurrences)
**** Unknown item 163 (36 occurrences)
**** Unknown item 1641, (2 occurrences)
**** Unknown item 1658, (4 occurrences)
**** Unknown item 1688, (2 occurrences)
**** Unknown item 1698, (1 occurrence)
**** Unknown item 1753, (1 occurrence)
**** Unknown item 1875, (3 occurrences)
**** Unknown item 1956, (4 occurrences)
**** Unknown item 2019 (10 occurrences)
**** Unknown item 204, (4 occurrences)
**** Unknown item 2043 (15 occurrences)
**** Unknown item 2046, (5 occurrences)
**** Unknown item 2069, (1 occurrence)
**** Unknown item 208, (1 occurrence)
**** Unknown item 2089 (3 occurrences)
**** Unknown item 2092 (2 occurrences)
**** Unknown item 2102, (3 occurrences)
**** Unknown item 211, (2 occurrences)
**** Unknown item 2149, (3 occurrences)
**** Unknown item 2185 (1 occurrence)
**** Unknown item 2187 (1 occurrence)
**** Unknown item 2190 (25 occurrences)
**** Unknown item 2215, (1 occurrence)
**** Unknown item 237, (3 occurrences)
**** Unknown item 2401 (55 occurrences)
**** Unknown item 2434 (1 occurrence)
**** Unknown item 244 (29 occurrences)
**** Unknown item 2440 (40 occurrences)
**** Unknown item 2448 (2 occurrences)
**** Unknown item 2457 (29 occurrences)
**** Unknown item 2459 (2 occurrences)
**** Unknown item 2479 (40 occurrences)
**** Unknown item 24992286 (1 occurrence)
**** Unknown item 266, (1 occurrence)
**** Unknown item 2713 (5 occurrences)
**** Unknown item 2715 (17 occurrences)
**** Unknown item 2730, (2 occurrences)
**** Unknown item 2748 (9 occurrences)
**** Unknown item 2765 (3 occurrences)
**** Unknown item 2947, (1 occurrence)
**** Unknown item 3066 (38 occurrences)
**** Unknown item 386, (4 occurrences)
**** Unknown item 390, (3 occurrences)
**** Unknown item 430 (12 occurrences)
**** Unknown item 560, (2 occurrences)
**** Unknown item 631 (1 occurrence)
**** Unknown item 638 (1 occurrence)
**** Unknown item 660, (4 occurrences)
**** Unknown item 681, (3 occurrences)
**** Unknown item 755, (4 occurrences)
**** Unknown item 781 (58 occurrences)
**** Unknown item 782 (56 occurrences)
**** Unknown item 844 (1 occurrence)
**** Unknown item 863, (3 occurrences)
**** Unknown item LOST_RUINS_OF_ARNAK (6 occurrences)
**** Unknown item THESAUROS (1 occurrence)

TRADE LOOPS (498 total trades):

(DOMBAS) 2298          receives (LISEK2000) 1944
(GARG) 2182            receives (LIMPINGMAN) 1765
(LIMPINGMAN) 1765      receives (ZABOWSKI) 876
(ZABOWSKI) 876         receives (SZAKET) 1689
(SZAKET) 1689          receives (HYNIKS) 1775
(HYNIKS) 1775          receives (LIENTAL) 785
(LIENTAL) 785          receives (PANCOR) 1213
(PANCOR) 1213          receives (AMACHNO) 599
(AMACHNO) 599          receives (ZABOWSKI) 933
(ZABOWSKI) 933         receives (LEINADUS) 2335
(LEINADUS) 2335        receives (ZABOWSKI) 871
(ZABOWSKI) 871         receives (FANTAZYN) 658
(FANTAZYN) 658         receives (CLAVI) 2263
(CLAVI) 2263           receives (LADZIK) 2763
(LADZIK) 2763          receives (CIUPAKABRA997) 499
(CIUPAKABRA997) 499    receives (PATRYKGALKA) 298
(PATRYKGALKA) 298      receives (TENCZ) 1627
(TENCZ) 1627           receives (WOOL_F) 2814
(WOOL_F) 2814          receives (NIDHOG) 1091
(NIDHOG) 1091          receives (PLANSZOWIEC) 2694
(PLANSZOWIEC) 2694     receives (BARTXX86) 677
(BARTXX86) 677         receives (ANOPTICHTYS) 315
(ANOPTICHTYS) 315      receives (SZEWSTER) 758
(SZEWSTER) 758         receives (KUBAP) 2223
(KUBAP) 2223           receives (SYDONIAA) 12
(SYDONIAA) 12          receives (HAPPOSAI) 737
(HAPPOSAI) 737         receives (LAMAPATT) 2363
(LAMAPATT) 2363        receives (PLANSZOWIEC) 2695
(PLANSZOWIEC) 2695     receives (BADO666) 729
(BADO666) 729          receives (PUSHEENEIRO) 1036
(PUSHEENEIRO) 1036     receives (GINET1) 2936
(GINET1) 2936          receives (CZOCHRUN) 857
(CZOCHRUN) 857         receives (JAKUBWAKIEC) 655
(JAKUBWAKIEC) 655      receives (EMGIEER) 1845
(EMGIEER) 1845         receives (RAISTLINJEDYNY) 383
(RAISTLINJEDYNY) 383   receives (MONIIALEX) 1799
(MONIIALEX) 1799       receives (VAGABOOOND) 55
(VAGABOOOND) 55        receives (SCRABER) 1399
(SCRABER) 1399         receives (ANOPTICHTYS) 340
(ANOPTICHTYS) 340      receives (KROMKA) 863
(KROMKA) 863           receives (TOPBGG) 2353
(TOPBGG) 2353          receives (BOLO7) 381
(BOLO7) 381            receives (ASPENNR) 1056
(ASPENNR) 1056         receives (ZABOWSKI) 2841
(ZABOWSKI) 2841        receives (LYNX32) 2838
(LYNX32) 2838          receives (MIOTELKA) 2552
(MIOTELKA) 2552        receives (RAPHAELL7) 975
(RAPHAELL7) 975        receives (BAAKA) 1046
(BAAKA) 1046           receives (ENDZITREBRON) 58
(ENDZITREBRON) 58      receives (OMAM1234) 812
(OMAM1234) 812         receives (CORRAN) 749
(CORRAN) 749           receives (LADZIK) 2789
(LADZIK) 2789          receives (ZERTHIN) 1745
(ZERTHIN) 1745         receives (RUSTY3000) 520
(RUSTY3000) 520        receives (WINSTER) 1005
(WINSTER) 1005         receives (REKAWIAN) 1604
(REKAWIAN) 1604        receives (BANANEQ) 1328
(BANANEQ) 1328         receives (YNIDHOGG) 2481
(YNIDHOGG) 2481        receives (MAJZOWNIK) 1920
(MAJZOWNIK) 1920       receives (MUDIABC) 756
(MUDIABC) 756          receives (KONRADSTPN) 78
(KONRADSTPN) 78        receives (GINET1) 2938
(GINET1) 2938          receives (PANCOR) 2668
(PANCOR) 2668          receives (BARTMAN71) 2548
(BARTMAN71) 2548       receives (PATRYKGALKA) 275
(PATRYKGALKA) 275      receives (PALMEREX) 2615
(PALMEREX) 2615        receives (ASYMETRI) 1339
(ASYMETRI) 1339        receives (PRZMKP) 59
(PRZMKP) 59            receives (ITSTHISGUYAGAIN) 445
(ITSTHISGUYAGAIN) 445  receives (PHILM78) 1825
(PHILM78) 1825         receives (ASTRIELL88) 1662
(ASTRIELL88) 1662      receives (SVVITALEK) 2165
(SVVITALEK) 2165       receives (JAKUBWAKIEC) 653
(JAKUBWAKIEC) 653      receives (KEROVAN14) 2565
(KEROVAN14) 2565       receives (VORONWE) 1618
(VORONWE) 1618         receives (PANCOR) 2682
(PANCOR) 2682          receives (GARG) 2211
(GARG) 2211            receives (VOYDEN) 2772
(VOYDEN) 2772          receives (ANOPTICHTYS) 322
(ANOPTICHTYS) 322      receives (PANCOR) 1156
(PANCOR) 1156          receives (ZABOWSKI) 2836
(ZABOWSKI) 2836        receives (KRASNY853) 2592
(KRASNY853) 2592       receives (JNOWACZY) 1869
(JNOWACZY) 1869        receives (LUKI364) 760
(LUKI364) 760          receives (GROR) 2405
(GROR) 2405            receives (BARTXX86) 675
(BARTXX86) 675         receives (QBALDUS1) 1427
(QBALDUS1) 1427        receives (RODAN77) 1462
(RODAN77) 1462         receives (UNKNOWN0) 843
(UNKNOWN0) 843         receives (WOJCIECHS) 590
(WOJCIECHS) 590        receives (NIDHOG) 1103
(NIDHOG) 1103          receives (MAGUN071) 1499
(MAGUN071) 1499        receives (WARRTAIN) 971
(WARRTAIN) 971         receives (VOYDEN) 2773
(VOYDEN) 2773          receives (MARBEL) 431
(MARBEL) 431           receives (RAFAL1991) 696
(RAFAL1991) 696        receives (SWIROFF) 1852
(SWIROFF) 1852         receives (DETRYTUS) 1285
(DETRYTUS) 1285        receives (RYSKAL) 1559
(RYSKAL) 1559          receives (ZIELONESZKIELKO) 851
(ZIELONESZKIELKO) 851  receives (KOPEC) 406
(KOPEC) 406            receives (KONRADSTPN) 133
(KONRADSTPN) 133       receives (SCRABER) 2292
(SCRABER) 2292         receives (LUKI364) 761
(LUKI364) 761          receives (KATSEK) 1420
(KATSEK) 1420          receives (TOPBGG) 135
(TOPBGG) 135           receives (PATRYKGALKA) 265
(PATRYKGALKA) 265      receives (RAFAL1991) 721
(RAFAL1991) 721        receives (PIOTR1) 1570
(PIOTR1) 1570          receives (MAT_EYO) 1511
(MAT_EYO) 1511         receives (PATRYKGALKA) 772
(PATRYKGALKA) 772      receives (VINIOLLI) 1612
(VINIOLLI) 1612        receives (MS103) 1298
(MS103) 1298           receives (BANANEQ) 1327
(BANANEQ) 1327         receives (MAGUN071) 2546
(MAGUN071) 2546        receives (SCRABER) 1392
(SCRABER) 1392         receives (GARG) 2208
(GARG) 2208            receives (MISIENCJUSZ) 437
(MISIENCJUSZ) 437      receives (KUBAP) 2270
(KUBAP) 2270           receives (PATRYKGALKA) 261
(PATRYKGALKA) 261      receives (JIMI_) 2439
(JIMI_) 2439           receives (GAMBIT_GGK) 1683
(GAMBIT_GGK) 1683      receives (MELUSINA) 177
(MELUSINA) 177         receives (LISEK2000) 1948
(LISEK2000) 1948       receives (HARDKOR) 481
(HARDKOR) 481          receives (BRZECHA) 635
(BRZECHA) 635          receives (SCRABER) 1402
(SCRABER) 1402         receives (MAGUN071) 1497
(MAGUN071) 1497        receives (KEROVAN14) 224
(KEROVAN14) 224        receives (INZI21) 2576
(INZI21) 2576          receives (TOPBGG) 139
(TOPBGG) 139           receives (SIPIO) 2034
(SIPIO) 2034           receives (PANCOR) 1168
(PANCOR) 1168          receives (NIWGNIP) 1522
(NIWGNIP) 1522         receives (PIOTRSZYJKA) 1698
(PIOTRSZYJKA) 1698     receives (MEFIUG) 1740
(MEFIUG) 1740          receives (BOBQ) 2160
(BOBQ) 2160            receives (LIMPINGMAN) 1757
(LIMPINGMAN) 1757      receives (WUDUPIPOL) 1374
(WUDUPIPOL) 1374       receives (LADZIK) 2791
(LADZIK) 2791          receives (WOOL_F) 2684
(WOOL_F) 2684          receives (BAAKA) 626
(BAAKA) 626            receives (MISIENCJUSZ) 438
(MISIENCJUSZ) 438      receives (SYDONIAA) 8
(SYDONIAA) 8           receives (MAMCZAR63) 1690
(MAMCZAR63) 1690       receives (MIOTELKA) 2541
(MIOTELKA) 2541        receives (NIWGNIP) 1527
(NIWGNIP) 1527         receives (LYNX32) 2886
(LYNX32) 2886          receives (ZABOWSKI) 870
(ZABOWSKI) 870         receives (BUKIMI) 62
(BUKIMI) 62            receives (ASTRIELL88) 1665
(ASTRIELL88) 1665      receives (ITSTHISGUYAGAIN) 446
(ITSTHISGUYAGAIN) 446  receives (CHARLIEVEGAN) 2924
(CHARLIEVEGAN) 2924    receives (VINIOLLI) 1606
(VINIOLLI) 1606        receives (MAJZOWNIK) 1885
(MAJZOWNIK) 1885       receives (RENEG8D) 2520
(RENEG8D) 2520         receives (MEFIUG) 1736
(MEFIUG) 1736          receives (KEROVAN14) 206
(KEROVAN14) 206        receives (PATRYKGALKA) 302
(PATRYKGALKA) 302      receives (CZOCHRUN) 836
(CZOCHRUN) 836         receives (KOPEC) 423
(KOPEC) 423            receives (MISIENCJUSZ) 434
(MISIENCJUSZ) 434      receives (LISEK2000) 2080
(LISEK2000) 2080       receives (PANCOR) 2624
(PANCOR) 2624          receives (KUBAP) 2246
(KUBAP) 2246           receives (STACHUSTACH187) 739
(STACHUSTACH187) 739   receives (LISEK2000) 1961
(LISEK2000) 1961       receives (TH13TEEN) 198
(TH13TEEN) 198         receives (KUBAP) 2221
(KUBAP) 2221           receives (LONYY) 806
(LONYY) 806            receives (GRZECHOO104) 2744
(GRZECHOO104) 2744     receives (VORONWE) 1620
(VORONWE) 1620         receives (MARBEL) 397
(MARBEL) 397           receives (KARTMAN7) 1305
(KARTMAN7) 1305        receives (LADZIK) 2802
(LADZIK) 2802          receives (TOPBGG) 1362
(TOPBGG) 1362          receives (BARTXX86) 681
(BARTXX86) 681         receives (LISEK2000) 1923
(LISEK2000) 1923       receives (PATRYKGALKA) 293
