TradeMaximizer Version 1.4a
Options: ALLOW-DUMMIES LINEAR-PRIORITIES REQUIRE-COLONS REQUIRE-USERNAMES SHOW-MISSING SMALL-STEP=0 BIG-STEP=1

Input Checksum: d0ed9abe2674a4bb17549da847dce9ba
ERRORS:
**** Item %AGRICOLA__ALL_CREATURES_BIG_AND_SMALL for user (FURAN) is repeated in want list for 719.
**** Item %CAPITAL for user (FURAN) is repeated in want list for 720.
**** Item %IMPERIAL_SETTLERS for user (SEBASAMURAI) is repeated in want list for 146.
**** Item %MAGNUM_SAL__MURIA for user (FURAN) is repeated in want list for 719.
**** Item %MAGNUM_SAL__MURIA for user (FURAN) is repeated in want list for 720.
**** Item %NINJATO for user (FURAN) is repeated in want list for 614.
**** Item %VANUATU for user (CRSUNIK) is repeated in want list for 132.
**** Unknown item %51ST_STATE__MASTER_SET for user (DEEDO72) (5 occurrences)
**** Unknown item %AGE_OF_THIEVES for user (DEEDO72) (5 occurrences)
**** Unknown item %A_FEAST_FOR_ODIN for user (DEEDO72) (5 occurrences)
**** Unknown item %BARENPARK for user (PEZETTO) (1 occurrence)
**** Unknown item %FUSE for user (DEEDO72) (5 occurrences)
**** Unknown item %ICECOOL for user (PEZETTO) (2 occurrences)
**** Unknown item %KANAGAWA for user (PEZETTO) (1 occurrence)
**** Unknown item %LEGENDARY_ENCOUNTERS__AN_ALIEN_DECK_BUILDING_GAME for user (DEEDO72) (5 occurrences)
**** Unknown item %LEGENDARY_ENCOUNTERS__A_PREDATOR_DECK_BUILDING_GAME for user (DEEDO72) (5 occurrences)
**** Unknown item %LETTERS_FROM_WHITECHAPEL for user (DEEDO72) (5 occurrences)
**** Unknown item %METALLUM for user (PEZETTO) (1 occurrence)
**** Unknown item %MEXICA for user (DEEDO72) (5 occurrences)
**** Unknown item %MOMBASA for user (PEZETTO) (1 occurrence)
**** Unknown item %NOTREDAME for user (PEZETTO) (1 occurrence)
**** Unknown item %SCYTHE for user (DEEDO72) (5 occurrences)
**** Unknown item %SEAFALL for user (DEEDO72) (5 occurrences)
**** Unknown item %STEAMPUNK_RALLY for user (DEEDO72) (5 occurrences)
**** Unknown item %STEAM_WORKS for user (DEEDO72) (5 occurrences)
**** Unknown item %STONE_AGE__THE_EXPANSION for user (DEEDO72) (5 occurrences)
**** Unknown item %SUNTZU for user (PEZETTO) (2 occurrences)
**** Unknown item %TIMELINEPOLSKA for user (PEZETTO) (1 occurrence)
**** Unknown item %T_I_M_E_STORIES for user (DEEDO72) (5 occurrences)
**** Unknown item %VICEROY for user (DEEDO72) (5 occurrences)
**** Unknown item %VICEROY for user (PEZETTO) (1 occurrence)
**** Unknown item 1007 (1 occurrence)
**** Unknown item 1049 (1 occurrence)
**** Unknown item 1250 (1 occurrence)
**** Unknown item 304 (21 occurrences)
**** Unknown item 305 (19 occurrences)
**** Unknown item 306 (2 occurrences)
**** Unknown item 307 (1 occurrence)
**** Unknown item 308 (47 occurrences)
**** Unknown item 309 (1 occurrence)
**** Unknown item 310 (1 occurrence)
**** Unknown item 311 (1 occurrence)
**** Unknown item 312 (2 occurrences)
**** Unknown item 368 (1 occurrence)
**** Unknown item 369 (1 occurrence)
**** Unknown item 400 (41 occurrences)
**** Unknown item 677 (1 occurrence)
**** Unknown item 703 (12 occurrences)
**** Unknown item 704 (14 occurrences)
**** Unknown item 705 (7 occurrences)
**** Unknown item 706 (13 occurrences)
**** Unknown item 707 (23 occurrences)
**** Unknown item 708 (40 occurrences)
**** Unknown item 711 (16 occurrences)
**** Unknown item 801 (8 occurrences)
**** Unknown item 802 (8 occurrences)

TRADE LOOPS (183 total trades):

(_AIS_) 187           receives (DENINIS) 662
(JENNY70) 482         receives (TOMB66) 564
(TOMB66) 564          receives (CYBEROWCA) 558
(CYBEROWCA) 558       receives (ROXAS1231) 561
(ROXAS1231) 561       receives (RAZUL) 96
(RAZUL) 96            receives (PPIECHUU) 440
(PPIECHUU) 440        receives (PIECHU) 209
(PIECHU) 209          receives (MAT_EYO) 427
(MAT_EYO) 427         receives (4810861U) 393
(4810861U) 393        receives (CORABB) 552
(CORABB) 552          receives (ARNIK) 398
(ARNIK) 398           receives (ROXAS1231) 563
(ROXAS1231) 563       receives (BODZIO661) 451
(BODZIO661) 451       receives (MAT_EYO) 418
(MAT_EYO) 418         receives (SYDONIAA) 44
(SYDONIAA) 44         receives (PROBBI) 492
(PROBBI) 492          receives (PEZETTO) 140
(PEZETTO) 140         receives (TOMB66) 574
(TOMB66) 574          receives (RAZUL) 111
(RAZUL) 111           receives (FURAN) 615
(FURAN) 615           receives (YNIDHOGG) 786
(YNIDHOGG) 786        receives (ZBAJSZEK) 323
(ZBAJSZEK) 323        receives (DONKICHOTE87) 754
(DONKICHOTE87) 754    receives (KONTRABAS) 580
(KONTRABAS) 580       receives (ANACROSS) 350
(ANACROSS) 350        receives (RAZUL) 382
(RAZUL) 382           receives (PIORO) 805
(PIORO) 805           receives (DENINIS) 665
(DENINIS) 665         receives (BODZIO661) 794
(BODZIO661) 794       receives (BARTP) 5
(BARTP) 5             receives (BARTOSZOPKA) 567
(BARTOSZOPKA) 567     receives (PIODAG) 153
(PIODAG) 153          receives (EMUNOWAK) 363
(EMUNOWAK) 363        receives (ROXAS1231) 559
(ROXAS1231) 559       receives (CACTUSSE) 771
(CACTUSSE) 771        receives (REKINP) 680
(REKINP) 680          receives (ZBAJSZEK) 316
(ZBAJSZEK) 316        receives (SHADOWA) 672
(SHADOWA) 672         receives (RAZUL) 378
(RAZUL) 378           receives (BODZIO661) 799
(BODZIO661) 799       receives (PIODAG) 156
(PIODAG) 156          receives (WIRACHA) 353
(WIRACHA) 353         receives (CIUNIEK) 335
(CIUNIEK) 335         receives (SYDONIAA) 43
(SYDONIAA) 43         receives (BARTG) 698
(BARTG) 698           receives (KORALKEA) 281
(KORALKEA) 281        receives (KASZKIET) 722
(KASZKIET) 722        receives (MACKILL) 110
(MACKILL) 110         receives (KRIONAH) 545
(KRIONAH) 545         receives (CORABB) 554
(CORABB) 554          receives (TOMZAQ) 731
(TOMZAQ) 731          receives (ZERO_1627) 383
(ZERO_1627) 383       receives (GINET1) 68
(GINET1) 68           receives (BODZIO661) 800
(BODZIO661) 800       receives (ANIAW89) 371
(ANIAW89) 371         receives (CRSUNIK) 128
(CRSUNIK) 128         receives (POKET) 730
(POKET) 730           receives (SLAWSLOM) 796
(SLAWSLOM) 796        receives (MARIOOSH) 412
(MARIOOSH) 412        receives (JENNY70) 484
(JENNY70) 484         receives (WIRACHA) 352
(WIRACHA) 352         receives (BARTOSZOPKA) 571
(BARTOSZOPKA) 571     receives (PIODAG) 155
(PIODAG) 155          receives (SLAWSLOM) 795
(SLAWSLOM) 795        receives (BODZIO661) 457
(BODZIO661) 457       receives (SYDONIAA) 48
(SYDONIAA) 48         receives (MEFIUG) 446
(MEFIUG) 446          receives (COIN22) 233
(COIN22) 233          receives (SYDONIAA) 37
(SYDONIAA) 37         receives (PIECHU) 205
(PIECHU) 205          receives (SEBASAMURAI) 391
(SEBASAMURAI) 391     receives (PROBBI) 489
(PROBBI) 489          receives (QBALDUS1) 430
(QBALDUS1) 430        receives (TEHANU) 262
(TEHANU) 262          receives (PIECHU) 247
(PIECHU) 247          receives (BODZIO661) 458
(BODZIO661) 458       receives (EMUNOWAK) 364
(EMUNOWAK) 364        receives (WILCZELYKO) 28
(WILCZELYKO) 28       receives (MAZUR84) 410
(MAZUR84) 410         receives (STROJU) 653
(STROJU) 653          receives (_AIS_) 193

(4810861U) 392        receives (CRSUNIK) 131
(CRSUNIK) 131         receives (HEIRTOPENDRAGON) 714
(HEIRTOPENDRAGON) 714 receives (8JANEK8) 510
(8JANEK8) 510         receives (ADMI99) 501
(ADMI99) 501          receives (PITONOWIE) 645
(PITONOWIE) 645       receives (FURAN) 614
(FURAN) 614           receives (MACKILL) 375
(MACKILL) 375         receives (TOMB66) 568
(TOMB66) 568          receives (BODZIO661) 454
(BODZIO661) 454       receives (ARDEL_PL) 541
(ARDEL_PL) 541        receives (LARRY2903) 55
(LARRY2903) 55        receives (DOMBAS) 607
(DOMBAS) 607          receives (8JANEK8) 678
(8JANEK8) 678         receives (COMFORT EAGLE) 168
(COMFORT EAGLE) 168   receives (ZERO_1627) 386
(ZERO_1627) 386       receives (YNIDHOGG) 790
(YNIDHOGG) 790        receives (4810861U) 392

(BODZIO661) 456       receives (JAX7) 759
(JAX7) 759            receives (GIGI) 432
(GIGI) 432            receives (BODZIO661) 456

(DENINIS) 783         receives (STASZEK) 732
(STASZEK) 732         receives (DENINIS) 783

(MACKILL) 376         receives (QBALDUS1) 424
(QBALDUS1) 424        receives (MACKILL) 376

ITEM SUMMARY (183 total trades):

(4810861U) 392        receives (CRSUNIK) 131         and sends to (YNIDHOGG) 790
(4810861U) 393        receives (CORABB) 552          and sends to (MAT_EYO) 427
(4810861U) 394                    does not trade
(4810861U) 395                    does not trade
(4810861U) 396                    does not trade
(4810861U) 397                    does not trade
(8JANEK8) 493                     does not trade
(8JANEK8) 496         receives (ANIOL1979) 809       and sends to (MAZUR84) 406
(8JANEK8) 498                     does not trade
(8JANEK8) 500                     does not trade
(8JANEK8) 503                     does not trade
(8JANEK8) 506                     does not trade
(8JANEK8) 507                     does not trade
(8JANEK8) 508                     does not trade
(8JANEK8) 509                     does not trade
(8JANEK8) 510         receives (ADMI99) 501          and sends to (HEIRTOPENDRAGON) 714
(8JANEK8) 678         receives (COMFORT EAGLE) 168   and sends to (DOMBAS) 607
(ADAMBADURA) 414                  does not trade
(ADMI99) 494                      does not trade
(ADMI99) 495                      does not trade
(ADMI99) 497          receives (CORABB) 797          and sends to (EMUNOWAK) 359
(ADMI99) 499                      does not trade
(ADMI99) 501          receives (PITONOWIE) 645       and sends to (8JANEK8) 510
(ADMI99) 502                      does not trade
(ADMI99) 504                      does not trade
(ADMI99) 505                      does not trade
(ALEXANDRYTKA) 401                does not trade
(ALEXANDRYTKA) 402                does not trade
(ALEXANDRYTKA) 403                does not trade
(ALEXANDRYTKA) 404                does not trade
(ALEXANDRYTKA) 405                does not trade
(AMRAS_VARDAMIR) 340              does not trade
(AMRAS_VARDAMIR) 341              does not trade
(AMRAS_VARDAMIR) 342              does not trade
(AMRAS_VARDAMIR) 343              does not trade
(ANACROSS) 347                    does not trade
(ANACROSS) 348                    does not trade
(ANACROSS) 349                    does not trade
(ANACROSS) 350        receives (RAZUL) 382           and sends to (KONTRABAS) 580
(ANACROSS) 601        receives (HEARDALIS) 480       and sends to (COIN22) 46
(ANIAW89) 371         receives (CRSUNIK) 128         and sends to (BODZIO661) 800
(ANIOL1979) 809       receives (PATOLD) 324          and sends to (8JANEK8) 496
(ANIOL1979) 815       receives (GODUNOW) 270         and sends to (RAZUL) 102
(ARDEL_PL) 541        receives (LARRY2903) 55        and sends to (BODZIO661) 454
(ARDEL_PL) 542                    does not trade
(ARDEL_PL) 543                    does not trade
(ARHTU) 582                       does not trade
(ARHTU) 583                       does not trade
(ARHTU) 585                       does not trade
(ARHTU) 810                       does not trade
(ARNIK) 148                       does not trade
(ARNIK) 149                       does not trade
(ARNIK) 150                       does not trade
(ARNIK) 151           receives (WASSAGO) 667         and sends to (MALEKITH_86) 21
(ARNIK) 152                       does not trade
(ARNIK) 283                       does not trade
(ARNIK) 284                       does not trade
(ARNIK) 285                       does not trade
(ARNIK) 286                       does not trade
(ARNIK) 287                       does not trade
(ARNIK) 288                       does not trade
(ARNIK) 289                       does not trade
(ARNIK) 290                       does not trade
(ARNIK) 398           receives (ROXAS1231) 563       and sends to (CORABB) 552
(BARTG) 692                       does not trade
(BARTG) 693                       does not trade
(BARTG) 694                       does not trade
(BARTG) 695           receives (KORALKEA) 460        and sends to (RAZUL) 113
(BARTG) 696                       does not trade
(BARTG) 697                       does not trade
(BARTG) 698           receives (KORALKEA) 281        and sends to (SYDONIAA) 43
(BARTG) 701           receives (PIECHU) 238          and sends to (MIOTELKA) 185
(BARTOSZOPKA) 567     receives (PIODAG) 153          and sends to (BARTP) 5
(BARTOSZOPKA) 569                 does not trade
(BARTOSZOPKA) 571     receives (PIODAG) 155          and sends to (WIRACHA) 352
(BARTP) 1                         does not trade
(BARTP) 2                         does not trade
(BARTP) 3                         does not trade
(BARTP) 4                         does not trade
(BARTP) 5             receives (BARTOSZOPKA) 567     and sends to (BODZIO661) 794
(BARTP) 6                         does not trade
(BARTP) 7                         does not trade
(BARTP) 8                         does not trade
(BARTP) 9                         does not trade
(BERNH) 346                       does not trade
(BLACKSLACK) 354                  does not trade
(BLACKSLACK) 356                  does not trade
(BODZIO661) 451       receives (MAT_EYO) 418         and sends to (ROXAS1231) 563
(BODZIO661) 452       receives (HARUN) 54            and sends to (GODUNOW) 270
(BODZIO661) 453       receives (JENNY70) 481         and sends to (POKET) 721
(BODZIO661) 454       receives (ARDEL_PL) 541        and sends to (TOMB66) 568
(BODZIO661) 455       receives (JENNY70) 482         and sends to (PROBBI) 490
(BODZIO661) 456       receives (JAX7) 759            and sends to (GIGI) 432
(BODZIO661) 457       receives (SYDONIAA) 48         and sends to (SLAWSLOM) 795
(BODZIO661) 458       receives (EMUNOWAK) 364        and sends to (PIECHU) 247
(BODZIO661) 459                   does not trade
(BODZIO661) 794       receives (BARTP) 5             and sends to (DENINIS) 665
(BODZIO661) 799       receives (PIODAG) 156          and sends to (RAZUL) 378
(BODZIO661) 800       receives (ANIAW89) 371         and sends to (GINET1) 68
(BOGUSZO) 629                     does not trade
(BOGUSZO) 633                     does not trade
(BOGUSZO) 640                     does not trade
(CACTUSSE) 766                    does not trade
(CACTUSSE) 767                    does not trade
(CACTUSSE) 768                    does not trade
(CACTUSSE) 769                    does not trade
(CACTUSSE) 770                    does not trade
(CACTUSSE) 771        receives (REKINP) 680          and sends to (ROXAS1231) 559
(CACTUSSE) 772                    does not trade
(CACTUSSE) 773                    does not trade
(CACTUSSE) 774                    does not trade
(CACTUSSE) 775                    does not trade
(CACTUSSE) 776                    does not trade
(CACTUSSE) 777                    does not trade
(CACTUSSE) 778                    does not trade
(CACTUSSE) 779                    does not trade
(CACTUSSE) 780                    does not trade
(CHAABER) 273         receives (WARDO89) 514         and sends to (_AIS_) 193
(CHAOS1981OL) 176     receives (THELKAAR) 744        and sends to (SHADOWA) 671
(CHAOS1981OL) 177                 does not trade
(CHAOS1981OL) 178                 does not trade
(CHAOS1981OL) 198                 does not trade
(CHAOS1981OL) 199                 does not trade
(CHAOS1981OL) 202                 does not trade
(CHAOS1981OL) 206                 does not trade
(CHAOS1981OL) 207                 does not trade
(CIUNIEK) 330                     does not trade
(CIUNIEK) 331                     does not trade
(CIUNIEK) 332                     does not trade
(CIUNIEK) 333                     does not trade
(CIUNIEK) 334                     does not trade
(CIUNIEK) 335         receives (SYDONIAA) 43         and sends to (WIRACHA) 353
(CIUNIEK) 336                     does not trade
(CIUNIEK) 337                     does not trade
(CIUNIEK) 338                     does not trade
(CIUNIEK) 339                     does not trade
(COIN22) 233          receives (SYDONIAA) 37         and sends to (MEFIUG) 446
(COIN22) 45                       does not trade
(COIN22) 46           receives (ANACROSS) 601        and sends to (DOMBAS) 609
(COIN22) 50                       does not trade
(COMFORT EAGLE) 166               does not trade
(COMFORT EAGLE) 168   receives (ZERO_1627) 386       and sends to (8JANEK8) 678
(COMFORT EAGLE) 169               does not trade
(COMFORT EAGLE) 170               does not trade
(CORABB) 547                      does not trade
(CORABB) 548                      does not trade
(CORABB) 549                      does not trade
(CORABB) 550                      does not trade
(CORABB) 551                      does not trade
(CORABB) 552          receives (ARNIK) 398           and sends to (4810861U) 393
(CORABB) 553                      does not trade
(CORABB) 554          receives (TOMZAQ) 731          and sends to (KRIONAH) 545
(CORABB) 797          receives (KMET) 535            and sends to (ADMI99) 497
(CRSUNIK) 121         receives (RAZUL) 97            and sends to (JACEK_PL) 164
(CRSUNIK) 122                     does not trade
(CRSUNIK) 123                     does not trade
(CRSUNIK) 124                     does not trade
(CRSUNIK) 125                     does not trade
(CRSUNIK) 126                     does not trade
(CRSUNIK) 127                     does not trade
(CRSUNIK) 128         receives (POKET) 730           and sends to (ANIAW89) 371
(CRSUNIK) 129                     does not trade
(CRSUNIK) 130                     does not trade
(CRSUNIK) 131         receives (HEIRTOPENDRAGON) 714 and sends to (4810861U) 392
(CRSUNIK) 132                     does not trade
(CRSUNIK) 133                     does not trade
(CRSUNIK) 134                     does not trade
(CRSUNIK) 135                     does not trade
(CRSUNIK) 265                     does not trade
(CYBEROWCA) 558       receives (ROXAS1231) 561       and sends to (TOMB66) 564
(DARN_47) 239                     does not trade
(DARN_47) 242                     does not trade
(DARN_47) 245                     does not trade
(DAWICI) 658                      does not trade
(DAWICI) 660                      does not trade
(DEEDO72) 271                     does not trade
(DEEDO72) 272                     does not trade
(DEEDO72) 276                     does not trade
(DEEDO72) 277                     does not trade
(DEEDO72) 278                     does not trade
(DENINIS) 661                     does not trade
(DENINIS) 662         receives (RAZUL) 98            and sends to (_AIS_) 187
(DENINIS) 664                     does not trade
(DENINIS) 665         receives (BODZIO661) 794       and sends to (PIORO) 805
(DENINIS) 666         receives (JAX7) 758            and sends to (OMAM1234) 175
(DENINIS) 783         receives (STASZEK) 732         and sends to (STASZEK) 732
(DETRYTUS) 442                    does not trade
(DOMBAS) 602                      does not trade
(DOMBAS) 603                      does not trade
(DOMBAS) 604                      does not trade
(DOMBAS) 605                      does not trade
(DOMBAS) 606                      does not trade
(DOMBAS) 607          receives (8JANEK8) 678         and sends to (LARRY2903) 55
(DOMBAS) 608                      does not trade
(DOMBAS) 609          receives (COIN22) 46           and sends to (LUBEL) 616
(DOMBAS) 610                      does not trade
(DOMBAS) 611                      does not trade
(DOMBAS) 612                      does not trade
(DONKICHOTE87) 743                does not trade
(DONKICHOTE87) 746                does not trade
(DONKICHOTE87) 748                does not trade
(DONKICHOTE87) 750                does not trade
(DONKICHOTE87) 751                does not trade
(DONKICHOTE87) 753                does not trade
(DONKICHOTE87) 754    receives (KONTRABAS) 580       and sends to (ZBAJSZEK) 323
(EMUNOWAK) 358                    does not trade
(EMUNOWAK) 359        receives (ADMI99) 497          and sends to (JAX7) 758
(EMUNOWAK) 360                    does not trade
(EMUNOWAK) 361                    does not trade
(EMUNOWAK) 362                    does not trade
(EMUNOWAK) 363        receives (ROXAS1231) 559       and sends to (PIODAG) 153
(EMUNOWAK) 364        receives (WILCZELYKO) 28       and sends to (BODZIO661) 458
(EMUNOWAK) 365                    does not trade
(EMUNOWAK) 366                    does not trade
(EMUNOWAK) 367                    does not trade
(FANTAZYN) 10                     does not trade
(FANTAZYN) 11                     does not trade
(FANTAZYN) 12                     does not trade
(FANTAZYN) 13                     does not trade
(FANTAZYN) 14                     does not trade
(FANTAZYN) 344        receives (PITONOWIE) 803       and sends to (TEHANU) 261
(FLOWERUS) 781                    does not trade
(FLOWERUS) 782                    does not trade
(FREYA2226) 415                   does not trade
(FURAN) 614           receives (MACKILL) 375         and sends to (PITONOWIE) 645
(FURAN) 615           receives (YNIDHOGG) 786        and sends to (RAZUL) 111
(FURAN) 713                       does not trade
(FURAN) 718           receives (MAZUR84) 406         and sends to (PIECHU) 238
(FURAN) 719                       does not trade
(FURAN) 720                       does not trade
(FURAN) 745                       does not trade
(GIGI) 432            receives (BODZIO661) 456       and sends to (JAX7) 759
(GIGI) 435                        does not trade
(GIGI) 441                        does not trade
(GINET1) 555                      does not trade
(GINET1) 556                      does not trade
(GINET1) 68           receives (BODZIO661) 800       and sends to (ZERO_1627) 383
(GINET1) 69                       does not trade
(GINET1) 70                       does not trade
(GINET1) 71                       does not trade
(GINET1) 72                       does not trade
(GODUNOW) 266                     does not trade
(GODUNOW) 267                     does not trade
(GODUNOW) 268                     does not trade
(GODUNOW) 269                     does not trade
(GODUNOW) 270         receives (BODZIO661) 452       and sends to (ANIOL1979) 815
(GODUNOW) 274                     does not trade
(GODUNOW) 613                     does not trade
(GOLEBIOWSKI) 76                  does not trade
(GOLEBIOWSKI) 77                  does not trade
(GOLEBIOWSKI) 78                  does not trade
(GOLEBIOWSKI) 79                  does not trade
(GRUNWALD) 525                    does not trade
(GRUNWALD) 526                    does not trade
(GRUNWALD) 557                    does not trade
(GRUNWALD) 74                     does not trade
(GRUNWALD) 75                     does not trade
(GRZECHOO104) 587                 does not trade
(GRZECHOO104) 588                 does not trade
(GRZECHOO104) 589                 does not trade
(GRZECHOO104) 590                 does not trade
(GRZECHOO104) 591                 does not trade
