TradeMaximizer Version 1.4a
Options: ALLOW-DUMMIES LINEAR-PRIORITIES REQUIRE-COLONS REQUIRE-USERNAMES SHOW-MISSING SMALL-STEP=0 BIG-STEP=1

Input Checksum: 8bf462def5777e1ced1f178a36b6c92c
ERRORS:
**** Item %ABOVE_AND_BELOW for user (KROLIS) is repeated in want list for 874.
**** Item %BEE_ALERT for user (JACEKBARBER) is repeated in want list for 643.
**** Item %CITY_OF_THE_BIG_SHOULDERS for user (CWIKS) is repeated in want list for 386.
**** Item %EVERDELL for user (ANOPTICHTYS) contains item 410 sender from the same user ((ANOPTICHTYS))
**** Item %EVERDELL for user (JINGOWAWA) is repeated in want list for 496.
**** Item %LAST_AURORA for user (POKET) is repeated in want list for 1006.
**** Item %LAST_AURORA for user (POKET) is repeated in want list for 1012.
**** Item %LAST_AURORA for user (POKET) is repeated in want list for 1013.
**** Item %LAST_AURORA for user (POKET) is repeated in want list for 987.
**** Item %LEGACY for user (ARHTU) is repeated in want list for 802.
**** Item %MINERALS for user (TAMARAPL) is repeated in want list for 396.
**** Item %ORLEAN for user (STRASZNY) is repeated in want list for 985.
**** Item %ORLEAN for user (STRASZNY) is repeated in want list for 993.
**** Item %ORLÉANS for user (CWIKS) is repeated in want list for 389.
**** Item %PARKS for user (RUTRA1992) is repeated in want list for 270.
**** Item %PARKS for user (RUTRA1992) is repeated in want list for 282.
**** Item %PARKS for user (RUTRA1992) is repeated in want list for 363.
**** Item %PARKS for user (RUTRA1992) is repeated in want list for 554.
**** Item %PARKS for user (RUTRA1992) is repeated in want list for 568.
**** Item %PARKS for user (RUTRA1992) is repeated in want list for 764.
**** Item %PARKS for user (RUTRA1992) is repeated in want list for 955.
**** Item %SHIPYARD for user (GINET1) is repeated in want list for 19.
**** Item %TANG_GARDEN for user (CWIKS) is repeated in want list for 389.
**** Item %TAPESTRY for user (FORDY2) is repeated in want list for 393.
**** Item %TAPESTRY for user (FORDY2) is repeated in want list for 394.
**** Item %TREASURE_ISLAND for user (CYBAS) is repeated in want list for 311.
**** Item 320 is repeated in want list for 62.
**** Item 320 is repeated in want list for 64.
**** Item 414 is repeated in want list for 432.
**** Unknown item %TRYES for user (STRASZNY) (2 occurrences)
**** Unknown item 1001 (39 occurrences)
**** Unknown item 1003 (2 occurrences)
**** Unknown item 1004 (3 occurrences)
**** Unknown item 1005 (6 occurrences)
**** Unknown item 1007 (2 occurrences)
**** Unknown item 1008 (4 occurrences)
**** Unknown item 1009 (4 occurrences)
**** Unknown item 1011 (38 occurrences)
**** Unknown item 1014 (9 occurrences)
**** Unknown item 1015 (4 occurrences)
**** Unknown item 1017 (5 occurrences)
**** Unknown item 1020 (5 occurrences)
**** Unknown item 1025 (16 occurrences)
**** Unknown item 1026 (2 occurrences)
**** Unknown item 1027 (33 occurrences)
**** Unknown item 1028 (17 occurrences)
**** Unknown item 1029 (6 occurrences)
**** Unknown item 139 (3 occurrences)
**** Unknown item 140 (2 occurrences)
**** Unknown item 259 (2 occurrences)
**** Unknown item 260 (4 occurrences)
**** Unknown item 261 (3 occurrences)
**** Unknown item 314 (21 occurrences)
**** Unknown item 315 (4 occurrences)
**** Unknown item 316 (2 occurrences)
**** Unknown item 317 (7 occurrences)
**** Unknown item 423 (10 occurrences)
**** Unknown item 439 (4 occurrences)
**** Unknown item 483 (12 occurrences)
**** Unknown item 484 (5 occurrences)
**** Unknown item 485 (32 occurrences)
**** Unknown item 486 (53 occurrences)
**** Unknown item 487 (27 occurrences)
**** Unknown item 488 (3 occurrences)
**** Unknown item 552 (2 occurrences)
**** Unknown item 5761119 (1 occurrence)
**** Unknown item 814 (2 occurrences)
**** Unknown item 815 (40 occurrences)
**** Unknown item 816 (4 occurrences)
**** Unknown item 817 (2 occurrences)
**** Unknown item 820 (12 occurrences)
**** Unknown item 880 (2 occurrences)
**** Unknown item 881 (2 occurrences)
**** Unknown item 882 (2 occurrences)
**** Unknown item 884 (11 occurrences)
**** Unknown item 885 (3 occurrences)
**** Unknown item 887 (4 occurrences)
**** Unknown item 890 (8 occurrences)
**** Unknown item 892 (9 occurrences)
**** Unknown item 903 (20 occurrences)
**** Unknown item 988 (3 occurrences)
**** Unknown item 989 (2 occurrences)
**** Unknown item 990 (2 occurrences)
**** Unknown item 991 (2 occurrences)
**** Unknown item 992 (2 occurrences)

TRADE LOOPS (274 total trades):

(_AIS_) 620           receives (FAKIRR) 733
(WLSB) 951            receives (SCARLETMARA) 441
(SCARLETMARA) 441     receives (DEEDO72) 839
(DEEDO72) 839         receives (KASZKIET) 143
(KASZKIET) 143        receives (ZBAJSZEK) 771
(ZBAJSZEK) 771        receives (COHLERC1) 736
(COHLERC1) 736        receives (VDER) 854
(VDER) 854            receives (STASZEK) 837
(STASZEK) 837         receives (_AIS_) 620

(_SLY_) 946           receives (SIREVAN) 103
(SIREVAN) 103         receives (ZBAJSZEK) 768
(ZBAJSZEK) 768        receives (_SLY_) 946

(AMACHNO) 71          receives (SYDONIAA) 6
(SYDONIAA) 6          receives (GAMBIT_GGK) 904
(GAMBIT_GGK) 904      receives (FREYA2226) 600
(FREYA2226) 600       receives (PICIEK1990) 961
(PICIEK1990) 961      receives (WUJEK2114) 931
(WUJEK2114) 931       receives (STALKEROI) 793
(STALKEROI) 793       receives (MNOWACZY) 227
(MNOWACZY) 227        receives (BAGESE) 440
(BAGESE) 440          receives (ROGATUSIEK) 508
(ROGATUSIEK) 508      receives (KASZKIET) 141
(KASZKIET) 141        receives (COHLERC1) 739
(COHLERC1) 739        receives (WUJEK2114) 940
(WUJEK2114) 940       receives (LOTHEG) 171
(LOTHEG) 171          receives (AMACHNO) 71

(ANOPTICHTYS) 39      receives (APRIEL) 51
(APRIEL) 51           receives (LOMAX1983) 68
(LOMAX1983) 68        receives (ARAGORN4) 590
(ARAGORN4) 590        receives (MIZIO) 1132
(MIZIO) 1132          receives (CYBAS) 311
(CYBAS) 311           receives (ROGATUSIEK) 511
(ROGATUSIEK) 511      receives (COEN098) 272
(COEN098) 272         receives (MULISTYSTAW) 384
(MULISTYSTAW) 384     receives (PANTERA_SNIEZNA) 408
(PANTERA_SNIEZNA) 408 receives (ANOPTICHTYS) 39

(ARCRAYD) 320         receives (SARKIEL) 605
(SARKIEL) 605         receives (FIZOLOF) 433
(FIZOLOF) 433         receives (JAJKOS) 125
(JAJKOS) 125          receives (CZIKENPREDATOR) 126
(CZIKENPREDATOR) 126  receives (STANCZES) 654
(STANCZES) 654        receives (ROGATUSIEK) 506
(ROGATUSIEK) 506      receives (SIREVAN) 104
(SIREVAN) 104         receives (PICIEK1990) 957
(PICIEK1990) 957      receives (KONRADSTPN) 470
(KONRADSTPN) 470      receives (ELBRUUS) 478
(ELBRUUS) 478         receives (WKNOTT) 354
(WKNOTT) 354          receives (SUL12) 380
(SUL12) 380           receives (MEFIUG) 321
(MEFIUG) 321          receives (ELBRUUS) 479
(ELBRUUS) 479         receives (DOCIA) 481
(DOCIA) 481           receives (BOBULE) 44
(BOBULE) 44           receives (KASZKIET) 151
(KASZKIET) 151        receives (CAMEROON) 895
(CAMEROON) 895        receives (PUMAR) 115
(PUMAR) 115           receives (MUNCHHAUSEN) 1122
(MUNCHHAUSEN) 1122    receives (CINEK) 419
(CINEK) 419           receives (BLEBOK) 412
(BLEBOK) 412          receives (ROGATUSIEK) 509
(ROGATUSIEK) 509      receives (GARG) 942
(GARG) 942            receives (STANCZES) 660
(STANCZES) 660        receives (GINET1) 639
(GINET1) 639          receives (RUTRA1992) 956
(RUTRA1992) 956       receives (STANCZES) 649
(STANCZES) 649        receives (PIOTR1) 344
(PIOTR1) 344          receives (ARCRAYD) 320

(CYBAS) 312           receives (GABENS29) 280
(GABENS29) 280        receives (MILEV) 878
(MILEV) 878           receives (VENOSTHE) 763
(VENOSTHE) 763        receives (SARKIEL) 598
(SARKIEL) 598         receives (PTKW) 59
(PTKW) 59             receives (DOCIA) 376
(DOCIA) 376           receives (CYBAS) 312

(PAWELACB) 808        receives (WAADIMCH) 540
(WAADIMCH) 540        receives (PAWELACB) 808

ITEM SUMMARY (274 total trades):

(8RAMBO88) 359                    does not trade
(8RAMBO88) 360        receives (KONRADSTPN) 457      and sends to (ROGATUSIEK) 505
(8RAMBO88) 361                    does not trade
(8RAMBO88) 362                    does not trade
(ADALBERT) 153                    does not trade
(ADALBERT) 155                    does not trade
(ADALBERT) 156                    does not trade
(ADALBERT) 158                    does not trade
(ADALBERT) 159                    does not trade
(ADALBERT) 160                    does not trade
(ADALBERT) 162                    does not trade
(ADALBERT) 163                    does not trade
(ADALBERT) 164                    does not trade
(AKWAMARYNOWY) 168                does not trade
(AKWAMARYNOWY) 226    receives (APRIEL) 50           and sends to (ARGUE) 777
(AMACHNO) 1107                    does not trade
(AMACHNO) 1124                    does not trade
(AMACHNO) 231                     does not trade
(AMACHNO) 383         receives (CYBAS) 310           and sends to (KMET) 582
(AMACHNO) 66                      does not trade
(AMACHNO) 67                      does not trade
(AMACHNO) 71          receives (SYDONIAA) 6          and sends to (LOTHEG) 171
(ANAMAN) 472                      does not trade
(ANDREZ_PL) 1101                  does not trade
(ANDREZ_PL) 1102                  does not trade
(ANDREZ_PL) 1103                  does not trade
(ANDREZ_PL) 1104      receives (ANDYMEN) 129         and sends to (PICIEK1990) 963
(ANDREZ_PL) 1106                  does not trade
(ANDYMEN) 128         receives (VENOSTHE) 761        and sends to (CYBAS) 308
(ANDYMEN) 129         receives (ARAGORN4) 589        and sends to (ANDREZ_PL) 1104
(ANDYMEN) 130         receives (MALKOLMX) 678        and sends to (ORZEH) 102
(ANDYMEN) 132         receives (PIOTR1) 751          and sends to (RAIPL) 964
(ANOPTICHTYS) 35                  does not trade
(ANOPTICHTYS) 36                  does not trade
(ANOPTICHTYS) 37                  does not trade
(ANOPTICHTYS) 38                  does not trade
(ANOPTICHTYS) 39      receives (APRIEL) 51           and sends to (PANTERA_SNIEZNA) 408
(ANOPTICHTYS) 40      receives (MONOPOLYOWNS) 277    and sends to (PIECHU) 299
(ANOPTICHTYS) 402     receives (BOBULE) 48           and sends to (WAZKA) 124
(ANOPTICHTYS) 403                 does not trade
(ANOPTICHTYS) 404                 does not trade
(ANOPTICHTYS) 407                 does not trade
(ANOPTICHTYS) 41                  does not trade
(ANOPTICHTYS) 410                 does not trade
(ANOPTICHTYS) 411                 does not trade
(ANOPTICHTYS) 413                 does not trade
(ANOPTICHTYS) 414                 does not trade
(ANOPTICHTYS) 42                  does not trade
(ANOPTICHTYS) 424                 does not trade
(ANOPTICHTYS) 425                 does not trade
(ANOPTICHTYS) 426                 does not trade
(ANOPTICHTYS) 43      receives (PIECHU) 288          and sends to (REVELEMENT) 818
(ANOPTICHTYS) 973                 does not trade
(APRIEL) 50           receives (CHAOS1981OL) 504     and sends to (AKWAMARYNOWY) 226
(APRIEL) 51           receives (LOMAX1983) 68        and sends to (ANOPTICHTYS) 39
(APRIEL) 52           receives (PUASHEY90) 724       and sends to (KOLMOGOROV) 526
(APRIEL) 55                       does not trade
(APRIEL) 56                       does not trade
(APRIEL) 57           receives (DARKERSIDE) 494      and sends to (MZAGORSKI) 966
(APRIEL) 58                       does not trade
(ARAGORN4) 1002                   does not trade
(ARAGORN4) 1010       receives (SMAGDA) 63           and sends to (PANTERA_SNIEZNA) 409
(ARAGORN4) 589        receives (PANTERA_SNIEZNA) 366 and sends to (ANDYMEN) 129
(ARAGORN4) 590        receives (MIZIO) 1132          and sends to (LOMAX1983) 68
(ARAGORN4) 591                    does not trade
(ARAGORN4) 592                    does not trade
(ARAGORN4) 593                    does not trade
(ARAGORN4) 594                    does not trade
(ARCRAYD) 320         receives (SARKIEL) 605         and sends to (PIOTR1) 344
(ARCRAYD) 323                     does not trade
(ARCRAYD) 325                     does not trade
(ARCRAYD) 341                     does not trade
(ARCRAYD) 342                     does not trade
(ARDEL_PL) 390                    does not trade
(ARDEL_PL) 391                    does not trade
(ARDEL_PL) 392        receives (CHAOS1981OL) 515     and sends to (CORABB) 1024
(ARGUE) 777           receives (AKWAMARYNOWY) 226    and sends to (ORZEH) 110
(ARHTU) 801                       does not trade
(ARHTU) 802                       does not trade
(ARHTU) 803           receives (PIECHU) 214          and sends to (FAKIRR) 734
(ARHTU) 804                       does not trade
(ARHTU) 805                       does not trade
(ARHTU) 806           receives (POKET) 987           and sends to (GRZEG0RZ) 788
(BAGESE) 440          receives (ROGATUSIEK) 508      and sends to (MNOWACZY) 227
(BARDOK) 120                      does not trade
(BARDOK) 121                      does not trade
(BARDOK) 122                      does not trade
(BARTP) 75                        does not trade
(BARTP) 77                        does not trade
(BARTP) 78                        does not trade
(BARTP) 80            receives (WOOL_F) 976          and sends to (TOMAX22) 740
(BARTP) 81                        does not trade
(BARTP) 82            receives (BUCISLAW) 601        and sends to (MARKOO) 595
(BARTP) 83                        does not trade
(BARTP) 84                        does not trade
(BARTP) 85                        does not trade
(BARTP) 86                        does not trade
(BARTP) 87            receives (MALEKITH_86) 666     and sends to (MOOCKER) 34
(BARTP) 88                        does not trade
(BARTP) 89                        does not trade
(BARTP) 90            receives (CYBAS) 308           and sends to (MTIBOL) 93
(BARTP) 91                        does not trade
(BARTP) 92                        does not trade
(BLEBOK) 398          receives (PAWELACB) 809        and sends to (STANCZES) 651
(BLEBOK) 399                      does not trade
(BLEBOK) 400                      does not trade
(BLEBOK) 401                      does not trade
(BLEBOK) 405          receives (RENEG8D) 533         and sends to (WOOL_F) 1016
(BLEBOK) 412          receives (ROGATUSIEK) 509      and sends to (CINEK) 419
