TradeMaximizer Version 1.4a
Options: ALLOW-DUMMIES LINEAR-PRIORITIES REQUIRE-COLONS REQUIRE-USERNAMES SHOW-MISSING SMALL-STEP=0 BIG-STEP=1

Input Checksum: 5c9b54cb33ab9736ee4568f2ee5e2a
ERRORS:
**** Item %AGRICOLA for user (CHRUSZCZOW) is repeated in want list for 91.
**** Item %HANNIBAL__ROME_VS__CARTHAGE for user (GIGI) is repeated in want list for 613.
**** Item %ROLLFTG for user (PIECHU) has multiple want lists--ignoring all but first.  (Sometimes the result of an accidental line break in the middle of a want list.)
**** Item %ROLLFTG for user (PIECHU) is repeated in want list for 243.
**** Item %ROLLFTG for user (PIECHU) is repeated in want list for 244.
**** Item %ROLLFTG for user (PIECHU) is repeated in want list for 245.
**** Item %ROLLFTG for user (PIECHU) is repeated in want list for 246.
**** Item %ROLLFTG for user (PIECHU) is repeated in want list for 247.
**** Item %ROLLFTG for user (PIECHU) is repeated in want list for 248.
**** Item %ROLLFTG for user (PIECHU) is repeated in want list for 249.
**** Item %ROLLFTG for user (PIECHU) is repeated in want list for 250.
**** Item %ROLLFTG for user (PIECHU) is repeated in want list for 251.
**** Item %ROLLFTG for user (PIECHU) is repeated in want list for 252.
**** Item %ROLLFTG for user (PIECHU) is repeated in want list for 253.
**** Item %ROLLFTG for user (PIECHU) is repeated in want list for 254.
**** Item %ROLLFTG for user (PIECHU) is repeated in want list for 256.
**** Item %ROLLFTG for user (PIECHU) is repeated in want list for 257.
**** Item %ROLLFTG for user (PIECHU) is repeated in want list for 258.
**** Item %ROLLFTG for user (PIECHU) is repeated in want list for 260.
**** Item %ROLLFTG for user (PIECHU) is repeated in want list for 261.
**** Item %ROLLFTG for user (PIECHU) is repeated in want list for 262.
**** Item %ROLLFTG for user (PIECHU) is repeated in want list for 263.
**** Item %ROLLFTG for user (PIECHU) is repeated in want list for 264.
**** Item %ROLLFTG for user (PIECHU) is repeated in want list for 265.
**** Item %ROLLFTG for user (PIECHU) is repeated in want list for 266.
**** Item %ROLLFTG for user (PIECHU) is repeated in want list for 267.
**** Item %ROLLFTG for user (PIECHU) is repeated in want list for 268.
**** Item %ROLLFTG for user (PIECHU) is repeated in want list for 269.
**** Item %SID_MEIER_S_CIVILIZATION_A_NEW_DAWN for user (WODA) is repeated in want list for 358.
**** Item %SID_MEIER_S_CIVILIZATION_A_NEW_DAWN for user (WODA) is repeated in want list for 359.
**** Item %SID_MEIER_S_CIVILIZATION_A_NEW_DAWN for user (WODA) is repeated in want list for 360.
**** Item %THE_VOYAGES_OF_MARCO_POLO for user (JENNY70) is repeated in want list for 573.
**** Item %THE_WITCHER_ADVENTURE_GAME for user (JENNY70) is repeated in want list for 573.
**** Item %TRIASSIC_TERROR for user (JENNY70) is repeated in want list for 573.
**** Item %VILLAGESOFVALERIA for user (BARTP) has multiple want lists--ignoring all but first.  (Sometimes the result of an accidental line break in the middle of a want list.)
**** Item %VILLAGESOFVALERIA for user (BARTP) is repeated in want list for 193.
**** Item %VILLAGESOFVALERIA for user (BARTP) is repeated in want list for 194.
**** Item %VILLAGESOFVALERIA for user (BARTP) is repeated in want list for 195.
**** Item %VILLAGESOFVALERIA for user (BARTP) is repeated in want list for 196.
**** Item %VILLAGESOFVALERIA for user (BARTP) is repeated in want list for 197.
**** Item %VILLAGESOFVALERIA for user (BARTP) is repeated in want list for 198.
**** Item %VILLAGESOFVALERIA for user (BARTP) is repeated in want list for 200.
**** Item %VILLAGESOFVALERIA for user (BARTP) is repeated in want list for 371.
**** Item 250 has multiple want lists--ignoring all but first.  (Sometimes the result of an accidental line break in the middle of a want list.)
**** Unknown item %KINGSBURG__SECOND_EDITION for user (ADALBERT) (1 occurrence)
**** Unknown item 1038 (1 occurrence)
**** Unknown item 1058 (1 occurrence)
**** Unknown item 1069 (1 occurrence)
**** Unknown item 11 (1 occurrence)
**** Unknown item 1111 (1 occurrence)
**** Unknown item 1120 (1 occurrence)
**** Unknown item 1142 (1 occurrence)
**** Unknown item 1196 (1 occurrence)
**** Unknown item 1197 (1 occurrence)
**** Unknown item 1234 (1 occurrence)
**** Unknown item 1257 (1 occurrence)
**** Unknown item 1265 (1 occurrence)
**** Unknown item 1290 (1 occurrence)
**** Unknown item 1302 (1 occurrence)
**** Unknown item 1346 (1 occurrence)
**** Unknown item 1387 (1 occurrence)
**** Unknown item 1388 (1 occurrence)
**** Unknown item 1389 (1 occurrence)
**** Unknown item 1432 (1 occurrence)
**** Unknown item 1507 (1 occurrence)
**** Unknown item 1517 (1 occurrence)
**** Unknown item 1547 (1 occurrence)
**** Unknown item 1548 (1 occurrence)
**** Unknown item 1563 (1 occurrence)
**** Unknown item 1573 (1 occurrence)
**** Unknown item 2849 (1 occurrence)
**** Unknown item 324214 (1 occurrence)
**** Unknown item 541 (2 occurrences)
**** Unknown item 542 (2 occurrences)
**** Unknown item 610 (13 occurrences)
**** Unknown item 723 (1 occurrence)
**** Unknown item 724 (1 occurrence)
**** Unknown item 725 (9 occurrences)
**** Unknown item 726 (1 occurrence)
**** Unknown item 729 (26 occurrences)
**** Unknown item 731 (13 occurrences)
**** Unknown item 732 (7 occurrences)
**** Unknown item 733 (1 occurrence)
**** Unknown item 920 (44 occurrences)
**** Unknown item 922 (38 occurrences)
**** Unknown item 926 (17 occurrences)

TRADE LOOPS (206 total trades):

(_AIS_) 825             receives (KRIONAH) 642
(RAZUL) 332             receives (BADYL) 583
(BADYL) 583             receives (GRZECHOO104) 933
(GRZECHOO104) 933       receives (ANOPTICHTYS) 24
(ANOPTICHTYS) 24        receives (CHRUSZCZOW) 90
(CHRUSZCZOW) 90         receives (LHAPKA) 396
(LHAPKA) 396            receives (FANTAZYN) 166
(FANTAZYN) 166          receives (KLOS_X) 528
(KLOS_X) 528            receives (CACTUSSE) 127
(CACTUSSE) 127          receives (CHRUSZCZOW) 116
(CHRUSZCZOW) 116        receives (ADALBERT) 994
(ADALBERT) 994          receives (KERUKR) 833
(KERUKR) 833            receives (DONATELLO23) 367
(DONATELLO23) 367       receives (DAWIATA) 947
(DAWIATA) 947           receives (POKET) 875
(POKET) 875             receives (GRZECHOO104) 918
(GRZECHOO104) 918       receives (WAMPIK) 501
(WAMPIK) 501            receives (EREM) 637
(EREM) 637              receives (JASKIER) 65
(JASKIER) 65            receives (PIECHU) 260
(PIECHU) 260            receives (BLACKSLACK) 186
(BLACKSLACK) 186        receives (WUJEK2114) 853
(WUJEK2114) 853         receives (MICZI92) 291
(MICZI92) 291           receives (WAPNIAK) 486
(WAPNIAK) 486           receives (KASZKIET) 217
(KASZKIET) 217          receives (8JANEK8) 836
(8JANEK8) 836           receives (SIPIO) 591
(SIPIO) 591             receives (SYDONIAA) 5
(SYDONIAA) 5            receives (8JANEK8) 842
(8JANEK8) 842           receives (KMET) 608
(KMET) 608              receives (KERUKR) 831
(KERUKR) 831            receives (MEFIUG) 136
(MEFIUG) 136            receives (KLOS_X) 533
(KLOS_X) 533            receives (RAZUL) 316
(RAZUL) 316             receives (SIPIO) 589
(SIPIO) 589             receives (WAPNIAK) 465
(WAPNIAK) 465           receives (CYBEROWCA) 225
(CYBEROWCA) 225         receives (KASZKIET) 493
(KASZKIET) 493          receives (_AIS_) 825

(ADALBERT) 991          receives (WAPNIAK) 469
(WAPNIAK) 469           receives (BARTI18) 480
(BARTI18) 480           receives (LUBEL) 342
(LUBEL) 342             receives (BOBULE) 55
(BOBULE) 55             receives (CORABB) 439
(CORABB) 439            receives (RAZUL) 319
(RAZUL) 319             receives (SYDONIAA) 9
(SYDONIAA) 9            receives (KASZKIET) 231
(KASZKIET) 231          receives (JENNY70) 578
(JENNY70) 578           receives (PIECHU) 254
(PIECHU) 254            receives (BARTP) 976
(BARTP) 976             receives (EMUNOWAK) 474
(EMUNOWAK) 474          receives (KRISSOS) 453
(KRISSOS) 453           receives (TIKTUK) 878
(TIKTUK) 878            receives (LUKASZ90) 912
(LUKASZ90) 912          receives (ANOPTICHTYS) 1022
(ANOPTICHTYS) 1022      receives (JACEKBARBER) 448
(JACEKBARBER) 448       receives (ANOPTICHTYS) 662
(ANOPTICHTYS) 662       receives (CRSUNIK) 147
(CRSUNIK) 147           receives (KRIONAH) 646
(KRIONAH) 646           receives (JACEK_PL) 369
(JACEK_PL) 369          receives (RAZUL) 306
(RAZUL) 306             receives (GAMBIT_GGK) 900
(GAMBIT_GGK) 900        receives (RAZUL) 293
(RAZUL) 293             receives (SANDY86) 600
(SANDY86) 600           receives (OSTRY) 1005
(OSTRY) 1005            receives (KLOS_X) 525
(KLOS_X) 525            receives (RAZUL) 680
(RAZUL) 680             receives (INDAREK) 917
(INDAREK) 917           receives (ADALBERT) 991

(BARTI18) 953           receives (BARTP) 200
(BARTP) 200             receives (CACTUSSE) 126
(CACTUSSE) 126          receives (MEFIUG) 134
(MEFIUG) 134            receives (BOBULE) 53
(BOBULE) 53             receives (LUBEL) 341
(LUBEL) 341             receives (MATGIE) 346
(MATGIE) 346            receives (BARTI18) 953

(GINET1) 695            receives (GRUNWALD) 52
(GRUNWALD) 52           receives (JINGOWAWA) 712
(JINGOWAWA) 712         receives (GINET1) 695

ITEM SUMMARY (206 total trades):

(8JANEK8) 835           receives (LYSYPK) 799            and sends to (MALEKITH_86) 782
(8JANEK8) 836           receives (SIPIO) 591             and sends to (KASZKIET) 217
(8JANEK8) 841           receives (CACTUSSE) 112          and sends to (KASZKIET) 215
(8JANEK8) 842           receives (KMET) 608              and sends to (SYDONIAA) 5
(ADALBERT) 991          receives (WAPNIAK) 469           and sends to (INDAREK) 917
(ADALBERT) 992                      does not trade
(ADALBERT) 993                      does not trade
(ADALBERT) 994          receives (KERUKR) 833            and sends to (CHRUSZCZOW) 116
(ADALBERT) 995                      does not trade
(ADALBERT) 996                      does not trade
(ADMI99) 484            receives (JINGOWAWA) 174         and sends to (LKOPER) 365
(ADMI99) 657                        does not trade
(ADMI99) 70                         does not trade
(ADMI99) 71                         does not trade
(ADMI99) 72             receives (KASZKIET) 220          and sends to (BARTI18) 950
(ADMI99) 73                         does not trade
(ADMI99) 74                         does not trade
(ADMI99) 75                         does not trade
(ADMI99) 76                         does not trade
(ADMI99) 77                         does not trade
(AMANDOR) 78                        does not trade
(AMANDOR) 80                        does not trade
(AMANDOR) 84            receives (WHITE_BABIRUSA) 556    and sends to (MELLOWFRUIT) 178
(ANIAW89) 545                       does not trade
(ANOPTICHTYS) 1022      receives (JACEKBARBER) 448       and sends to (LUKASZ90) 912
(ANOPTICHTYS) 1024                  does not trade
(ANOPTICHTYS) 1025      receives (MATGIE) 343            and sends to (APIEJH) 735
(ANOPTICHTYS) 1027      receives (KONTRABAS) 803         and sends to (KONRADSTPN) 944
(ANOPTICHTYS) 1028                  does not trade
(ANOPTICHTYS) 24        receives (CHRUSZCZOW) 90         and sends to (GRZECHOO104) 933
(ANOPTICHTYS) 25        receives (CRSUNIK) 142           and sends to (WODA) 361
(ANOPTICHTYS) 26                    does not trade
(ANOPTICHTYS) 27                    does not trade
(ANOPTICHTYS) 28                    does not trade
(ANOPTICHTYS) 29                    does not trade
(ANOPTICHTYS) 30                    does not trade
(ANOPTICHTYS) 31                    does not trade
(ANOPTICHTYS) 32                    does not trade
(ANOPTICHTYS) 33                    does not trade
(ANOPTICHTYS) 34                    does not trade
(ANOPTICHTYS) 35                    does not trade
(ANOPTICHTYS) 36                    does not trade
(ANOPTICHTYS) 658                   does not trade
(ANOPTICHTYS) 659                   does not trade
(ANOPTICHTYS) 660                   does not trade
(ANOPTICHTYS) 661                   does not trade
(ANOPTICHTYS) 662       receives (CRSUNIK) 147           and sends to (JACEKBARBER) 448
(ANOPTICHTYS) 663                   does not trade
(ANOPTICHTYS) 664                   does not trade
(APIEJH) 1029                       does not trade
(APIEJH) 734                        does not trade
(APIEJH) 735            receives (ANOPTICHTYS) 1025      and sends to (INDAREK) 910
(APIEJH) 736            receives (RAZUL) 681             and sends to (STRASZNY) 653
(APIEJH) 737                        does not trade
(B3R53RK3R) 748         receives (ZERO_1627) 81          and sends to (COIN22) 544
(B3R53RK3R) 755                     does not trade
(B3R53RK3R) 764                     does not trade
(B3R53RK3R) 767                     does not trade
(BADYL) 579             receives (KAMIL27) 172           and sends to (MALEKITH_86) 785
(BADYL) 580                         does not trade
(BADYL) 581                         does not trade
(BADYL) 582                         does not trade
(BADYL) 583             receives (GRZECHOO104) 933       and sends to (RAZUL) 332
(BADYL) 929                         does not trade
(BALIS) 876                         does not trade
(BALIS) 877                         does not trade
(BALIS) 880                         does not trade
(BALIS) 881                         does not trade
(BALIS) 882                         does not trade
(BALIS) 883                         does not trade
(BALIS) 884                         does not trade
(BALIS) 885             receives (GIGI) 613              and sends to (TUMINURE) 811
(BALIS) 886                         does not trade
(BALIS) 888                         does not trade
(BALIS) 891                         does not trade
(BALIS) 892                         does not trade
(BALIS) 894                         does not trade
(BARDOK) 69                         does not trade
(BARTI18) 476                       does not trade
(BARTI18) 477                       does not trade
(BARTI18) 478                       does not trade
(BARTI18) 479                       does not trade
(BARTI18) 480           receives (LUBEL) 342             and sends to (WAPNIAK) 469
(BARTI18) 481           receives (CYBEROWCA) 224         and sends to (NEWGATE) 234
(BARTI18) 482                       does not trade
(BARTI18) 949                       does not trade
(BARTI18) 950           receives (ADMI99) 72             and sends to (WAPNIAK) 468
(BARTI18) 951                       does not trade
(BARTI18) 952                       does not trade
(BARTI18) 953           receives (BARTP) 200             and sends to (MATGIE) 346
(BARTP) 193                         does not trade
(BARTP) 194                         does not trade
(BARTP) 195                         does not trade
(BARTP) 196                         does not trade
(BARTP) 197                         does not trade
(BARTP) 198                         does not trade
(BARTP) 199                         does not trade
(BARTP) 200             receives (CACTUSSE) 126          and sends to (BARTI18) 953
(BARTP) 201                         does not trade
(BARTP) 202                         does not trade
(BARTP) 204                         does not trade
(BARTP) 371                         does not trade
(BARTP) 976             receives (EMUNOWAK) 474          and sends to (PIECHU) 254
(BLACKSLACK) 179        receives (MELLOWFRUIT) 177       and sends to (PAWELACB) 751
(BLACKSLACK) 183                    does not trade
(BLACKSLACK) 186        receives (WUJEK2114) 853         and sends to (PIECHU) 260
(BLACKSLACK) 187                    does not trade
(BLACKSLACK) 188        receives (CACTUSSE) 95           and sends to (DRKLINGMANN) 741
(BLACKSLACK) 189                    does not trade
(BLACKSLACK) 190                    does not trade
(BLACKSLACK) 191                    does not trade
(BOBULE) 50             receives (SASQUACH77) 863        and sends to (LKOPER) 362
(BOBULE) 53             receives (LUBEL) 341             and sends to (MEFIUG) 134
(BOBULE) 55             receives (CORABB) 439            and sends to (LUBEL) 342
(BOGUSZO) 813           receives (STRASZNY) 653          and sends to (PROBBI) 864
(BOGUSZO) 814                       does not trade
(BOGUSZO) 819                       does not trade
(CACTUSSE) 100                      does not trade
(CACTUSSE) 101                      does not trade
(CACTUSSE) 102                      does not trade
(CACTUSSE) 103                      does not trade
(CACTUSSE) 104                      does not trade
(CACTUSSE) 105                      does not trade
(CACTUSSE) 106                      does not trade
(CACTUSSE) 107                      does not trade
(CACTUSSE) 108                      does not trade
(CACTUSSE) 109                      does not trade
(CACTUSSE) 110                      does not trade
(CACTUSSE) 111                      does not trade
(CACTUSSE) 112          receives (SIPIO) 598             and sends to (8JANEK8) 841
(CACTUSSE) 114                      does not trade
(CACTUSSE) 115                      does not trade
(CACTUSSE) 117                      does not trade
(CACTUSSE) 119                      does not trade
(CACTUSSE) 120                      does not trade
(CACTUSSE) 121                      does not trade
(CACTUSSE) 122                      does not trade
(CACTUSSE) 124                      does not trade
(CACTUSSE) 126          receives (MEFIUG) 134            and sends to (BARTP) 200
(CACTUSSE) 127          receives (CHRUSZCZOW) 116        and sends to (KLOS_X) 528
(CACTUSSE) 128                      does not trade
(CACTUSSE) 129                      does not trade
(CACTUSSE) 130                      does not trade
(CACTUSSE) 132                      does not trade
(CACTUSSE) 133                      does not trade
(CACTUSSE) 93                       does not trade
(CACTUSSE) 94                       does not trade
(CACTUSSE) 95           receives (PIECHU) 264            and sends to (BLACKSLACK) 188
