TradeMaximizer Version 1.4a
Options: ALLOW-DUMMIES LINEAR-PRIORITIES REQUIRE-COLONS REQUIRE-USERNAMES SHOW-MISSING SMALL-STEP=0 BIG-STEP=1

Input Checksum: ac355fec980c43814678863627de8c9
ERRORS:
**** Item %CACAO for user (MOCKINGBIRD5433) is repeated in want list for 464.
**** Item %CENTURY__EASTERN_WONDERS for user (JINGOWAWA) has multiple want lists--ignoring all but first.  (Sometimes the result of an accidental line break in the middle of a want list.)
**** Item %CENTURY__EASTERN_WONDERS for user (JINGOWAWA) is repeated in want list for 802.
**** Item %CLOCKWORKWARS for user (KARRIARI) is repeated in want list for 705.
**** Item %COLTEXPRESS for user (OMAM1234) is repeated in want list for 245.
**** Item %COLTEXPRESS for user (OMAM1234) is repeated in want list for 247.
**** Item %FIVETRIBES for user (CORQAN) is repeated in want list for 187.
**** Item %THROUGH_THE_AGES_A_NEW_STORY_OF_CIVILIZATION for user (TENCZ) is repeated in want list for 591.
**** Item %T_I_M_E_STORIES for user (BROM69) is repeated in want list for 336.
**** Item 169 is repeated in want list for 915.
**** Item 169 is repeated in want list for 916.
**** Item 169 is repeated in want list for 917.
**** Item 169 is repeated in want list for 937.
**** Item 169 is repeated in want list for 951.
**** Item 963 contains item 936 sender from the same user ((POKET))
**** Item 973 is repeated in want list for 245.
**** Unknown item %CENTURY_A_NEW_WORLD for user (MEFIUG) (6 occurrences)
**** Unknown item %DECKSCAPE_TEST_TIME_DECKSCAPE_THE_FATE_OF_LONDON for user (ADMI99) (1 occurrence)
**** Unknown item %KING_OF_TOKYO_KING_OF_TOKYO_POWER_UP_KING_OF_TOKYO_NEW_YORK_MONSTER_PACK_CTHULHU_KING_OF_TOKYO_NEW_YORK_MONSTER_PACK_KING_KONG for user (MEFIUG) (5 occurrences)
**** Unknown item 306 (2 occurrences)
**** Unknown item 412 (11 occurrences)
**** Unknown item 480 (6 occurrences)
**** Unknown item 484 (11 occurrences)
**** Unknown item 708 (12 occurrences)
**** Unknown item 907 (5 occurrences)
**** Unknown item 909 (12 occurrences)
**** Unknown item 910 (1 occurrence)
**** Unknown item 912 (2 occurrences)
**** Unknown item 913 (2 occurrences)
**** Unknown item 945 (21 occurrences)
**** Unknown item 946 (13 occurrences)

TRADE LOOPS (209 total trades):

(_AIS_) 884            receives (WOTHAN) 137
(ZBAJSZEK) 601         receives (CORTUMPL) 493
(CORTUMPL) 493         receives (PUASHEY90) 143
(PUASHEY90) 143        receives (MOCKINGBIRD5433) 460
(MOCKINGBIRD5433) 460  receives (WILCZELYKO) 451
(WILCZELYKO) 451       receives (LOMAX1983) 54
(LOMAX1983) 54         receives (PROBBI) 579
(PROBBI) 579           receives (PUASHEY90) 148
(PUASHEY90) 148        receives (FIZOLOF) 75
(FIZOLOF) 75           receives (_AIS_) 884

(8RAMBO88) 241         receives (FURAN) 67
(FURAN) 67             receives (KRIONAH) 355
(KRIONAH) 355          receives (SHADOWA) 609
(SHADOWA) 609          receives (RAZUL) 1008
(RAZUL) 1008           receives (MEFIUG) 430
(MEFIUG) 430           receives (LOTHEG) 280
(LOTHEG) 280           receives (MOCKINGBIRD5433) 462
(MOCKINGBIRD5433) 462  receives (M1SHA) 888
(M1SHA) 888            receives (DAWTA) 582
(DAWTA) 582            receives (8RAMBO88) 241

(8RAMBO88) 243         receives (PROBBI) 562
(PROBBI) 562           receives (8RAMBO88) 243

(APIEJH) 721           receives (RAPHAELL7) 104
(RAPHAELL7) 104        receives (PIOTR1) 276
(PIOTR1) 276           receives (VDER) 619
(VDER) 619             receives (KRIONAH) 356
(KRIONAH) 356          receives (GOODGUY) 471
(GOODGUY) 471          receives (MAZUR84) 666
(MAZUR84) 666          receives (EQUILIBRIUMPL) 440
(EQUILIBRIUMPL) 440    receives (CORQAN) 185
(CORQAN) 185           receives (PUASHEY90) 149
(PUASHEY90) 149        receives (FLOWERUS) 821
(FLOWERUS) 821         receives (SIPIO) 640
(SIPIO) 640            receives (RAZUL) 231
(RAZUL) 231            receives (PIECHU) 150
(PIECHU) 150           receives (PITONOWIE) 724
(PITONOWIE) 724        receives (CORABB) 715
(CORABB) 715           receives (SIENJASIEK) 898
(SIENJASIEK) 898       receives (MICZI92) 179
(MICZI92) 179          receives (APIEJH) 721

(CORQAN) 361           receives (TOMZAQ) 513
(TOMZAQ) 513           receives (CORQAN) 361

(CORTUMPL) 488         receives (DERTAZ) 919
(DERTAZ) 919           receives (MEFIUG) 422
(MEFIUG) 422           receives (KDSZ) 56
(KDSZ) 56              receives (TENCZ) 591
(TENCZ) 591            receives (CORTUMPL) 488

(DETRYTUS) 804         receives (MALEKITH_86) 25
(MALEKITH_86) 25       receives (SIREVAN) 71
(SIREVAN) 71           receives (RAZUL) 227
(RAZUL) 227            receives (MALKOLMX) 854
(MALKOLMX) 854         receives (TUMINURE) 1005
(TUMINURE) 1005        receives (MALKOLMX) 852
(MALKOLMX) 852         receives (MOCKINGBIRD5433) 465
(MOCKINGBIRD5433) 465  receives (MAT_EYO) 205
(MAT_EYO) 205          receives (DETRYTUS) 804

(MILEV) 981            receives (ROXAS1231) 658
(ROXAS1231) 658        receives (MILEV) 981

ITEM SUMMARY (209 total trades):

(8RAMBO88) 241         receives (FURAN) 67             and sends to (DAWTA) 582
(8RAMBO88) 242                     does not trade
(8RAMBO88) 243         receives (PROBBI) 562           and sends to (PROBBI) 562
(8RAMBO88) 244                     does not trade
(8RAMBO88) 246                     does not trade
(8RAMBO88) 249                     does not trade
(8RAMBO88) 251         receives (KONSU) 869            and sends to (MINNENMIN) 263
(8RAMBO88) 500                     does not trade
(8RAMBO88) 558                     does not trade
(ADALBERT) 210                     does not trade
(ADALBERT) 211                     does not trade
(ADALBERT) 212         receives (MALEKITH_86) 19       and sends to (RAZUL) 219
(ADALBERT) 213                     does not trade
(ADALBERT) 214                     does not trade
(ADALBERT) 215         receives (JINGOWAWA) 802        and sends to (GINET1) 764
(ADALBERT) 216                     does not trade
(ADALBERT) 795                     does not trade
(ADALBERT) 947                     does not trade
(ADAQ30) 307                       does not trade
(ADAQ30) 308                       does not trade
(ADAQ30) 309                       does not trade
(ADMI99) 265           receives (KONRADSTPN) 303       and sends to (SIREVAN) 69
(ADMI99) 482           receives (KOSTYR) 993           and sends to (MAT_EYO) 206
(ADMI99) 76                        does not trade
(ADMI99) 77                        does not trade
(ADMI99) 78                        does not trade
(ADMI99) 79                        does not trade
(ANIOL1979) 679                    does not trade
(ANIOL1979) 681                    does not trade
(APIEJH) 717                       does not trade
(APIEJH) 718                       does not trade
(APIEJH) 719                       does not trade
(APIEJH) 720                       does not trade
(APIEJH) 721           receives (RAPHAELL7) 104        and sends to (MICZI92) 179
(APIEJH) 723                       does not trade
(APIEJH) 725                       does not trade
(ARCRAYD) 553                      does not trade
(ARCRAYD) 554          receives (GINET1) 764           and sends to (BROM69) 335
(ARCRAYD) 555          receives (SHADOWA) 607          and sends to (RAZUL) 235
(ARCRAYD) 557          receives (BROM69) 333           and sends to (MEFIUG) 421
(ARMIGER) 80           receives (TUMINURE) 1001        and sends to (KIDI) 532
(ASYMETRI) 518                     does not trade
(ASYMETRI) 519                     does not trade
(ASYMETRI) 520                     does not trade
(ASYMETRI) 522                     does not trade
(ASYMETRI) 523                     does not trade
(ASYMETRI) 524                     does not trade
(ASYMETRI) 525                     does not trade
(ASYMETRI) 526                     does not trade
(ASYMETRI) 527                     does not trade
(ASYMETRI) 528                     does not trade
(ASYMETRI) 529                     does not trade
(ASYMETRI) 530                     does not trade
(ASYMETRI) 531                     does not trade
(ATAMAN) 131                       does not trade
(ATAMAN) 132                       does not trade
(ATAMAN) 133                       does not trade
(ATAMAN) 134                       does not trade
(ATAMAN) 135                       does not trade
(ATAMAN) 136                       does not trade
(B3R53RK3R) 749                    does not trade
(B3R53RK3R) 750                    does not trade
(B3R53RK3R) 762        receives (SIREVAN) 69           and sends to (KASZKIET) 402
(B3R53RK3R) 763                    does not trade
(BAGESE) 495                       does not trade
(BAGESE) 496           receives (SCHLESSIER) 507       and sends to (SHADOWA) 607
(BAGESE) 497                       does not trade
(BAGESE) 498                       does not trade
(BAGESE) 499                       does not trade
(BALIS) 727            receives (JACEKBARBER) 778      and sends to (GOLONKO) 322
(BALIS) 728                        does not trade
(BALIS) 729                        does not trade
(BALIS) 730                        does not trade
(BALIS) 731                        does not trade
(BALIS) 732                        does not trade
(BALIS) 734                        does not trade
(BALIS) 735                        does not trade
(BALIS) 737                        does not trade
(BALIS) 738                        does not trade
(BALIS) 739                        does not trade
(BALIS) 740                        does not trade
(BALIS) 741                        does not trade
(BALIS) 742                        does not trade
(BALIS) 743                        does not trade
(BALIS) 744                        does not trade
(BALIS) 745                        does not trade
(BALIS) 746            receives (KASZKIET) 402         and sends to (MOCKINGBIRD5433) 456
(BALIS) 747                        does not trade
(BALIS) 748                        does not trade
(BARTP) 112                        does not trade
(BARTP) 114                        does not trade
(BARTP) 115                        does not trade
(BARTP) 116                        does not trade
(BARTP) 117                        does not trade
(BARTP) 118                        does not trade
(BARTP) 119                        does not trade
(BARTP) 120                        does not trade
(BARTP) 121                        does not trade
(BARTP) 122                        does not trade
(BARTP) 123            receives (KASZKIET) 400         and sends to (KLOS_X) 374
(BARTP) 124                        does not trade
(BARTP) 125                        does not trade
(BARTP) 126                        does not trade
(BARTP) 127                        does not trade
(BARTP) 128            receives (GOLONKO) 325          and sends to (PITONOWIE) 733
(BARTP) 556            receives (RAZUL) 229            and sends to (TUMINURE) 1001
(BOARDGAMESLADY) 138               does not trade
(BOARDGAMESLADY) 142               does not trade
(BROM69) 332           receives (CAMEROON) 337         and sends to (CORQAN) 186
(BROM69) 333           receives (CORABB) 710           and sends to (ARCRAYD) 557
(BROM69) 334                       does not trade
(BROM69) 335           receives (ARCRAYD) 554          and sends to (PROBBI) 581
(BROM69) 336           receives (ZERO_1627) 271        and sends to (MEFIUG) 429
(BROM69) 453                       does not trade
(BROM69) 454                       does not trade
(BROM69) 455                       does not trade
(CAMEROON) 337         receives (PIECHU) 164           and sends to (BROM69) 332
(CAMEROON) 338         receives (MEFIUG) 824           and sends to (LOMAX1983) 55
(CAMEROON) 339                     does not trade
(CAMEROON) 340                     does not trade
(CAMEROON) 341                     does not trade
(CAMEROON) 342                     does not trade
(CAMEROON) 467                     does not trade
(CINO) 501                         does not trade
(CINO) 502                         does not trade
(CORABB) 709           receives (MELUSINA) 965         and sends to (MILEV) 979
(CORABB) 710           receives (TOMZAQ) 514           and sends to (BROM69) 333
(CORABB) 711                       does not trade
(CORABB) 713                       does not trade
(CORABB) 714                       does not trade
(CORABB) 715           receives (SIENJASIEK) 898       and sends to (PITONOWIE) 724
(CORABB) 716                       does not trade
(CORQAN) 185           receives (PUASHEY90) 149        and sends to (EQUILIBRIUMPL) 440
(CORQAN) 186           receives (BROM69) 332           and sends to (MICZI92) 182
(CORQAN) 187           receives (HANIAAA) 238          and sends to (PIECHU) 168
(CORQAN) 361           receives (TOMZAQ) 513           and sends to (TOMZAQ) 513
(CORTUMPL) 487                     does not trade
(CORTUMPL) 488         receives (DERTAZ) 919           and sends to (TENCZ) 591
(CORTUMPL) 489                     does not trade
(CORTUMPL) 490         receives (WAPNIAK) 330          and sends to (JENNY70) 839
(CORTUMPL) 491                     does not trade
(CORTUMPL) 492                     does not trade
(CORTUMPL) 493         receives (PUASHEY90) 143        and sends to (ZBAJSZEK) 601
(CORTUMPL) 494                     does not trade
(CRSUNIK) 816          receives (PIECHU) 168           and sends to (PTKW) 64
(CRSUNIK) 817                      does not trade
(CZUJNYOBSERWATOR) 343             does not trade
(CZUJNYOBSERWATOR) 344 receives (MYNAHPL) 939          and sends to (ZBAJSZEK) 596
(CZUJNYOBSERWATOR) 901             does not trade
(DAWTA) 442                        does not trade
(DAWTA) 443                        does not trade
(DAWTA) 444                        does not trade
(DAWTA) 445                        does not trade
(DAWTA) 446                        does not trade
(DAWTA) 447                        does not trade
(DAWTA) 521                        does not trade
(DAWTA) 582            receives (8RAMBO88) 241         and sends to (M1SHA) 888
(DERTAZ) 908                       does not trade
(DERTAZ) 914           receives (NOOWY) 786            and sends to (SIENJASIEK) 904
(DERTAZ) 915                       does not trade
(DERTAZ) 916                       does not trade
(DERTAZ) 917                       does not trade
(DERTAZ) 918                       does not trade
(DERTAZ) 919           receives (MEFIUG) 422           and sends to (CORTUMPL) 488
(DERTAZ) 920                       does not trade
(DERTAZ) 921                       does not trade
(DERTAZ) 922                       does not trade
(DERTAZ) 923                       does not trade
(DERTAZ) 924                       does not trade
(DERTAZ) 925           receives (NOOWY) 997            and sends to (MOCKINGBIRD5433) 878
(DERTAZ) 926                       does not trade
(DERTAZ) 927           receives (PROBBI) 581           and sends to (LASSE LINDSTROM) 589
(DERTAZ) 928                       does not trade
(DERTAZ) 929                       does not trade
(DERTAZ) 930                       does not trade
(DERTAZ) 931                       does not trade
(DERTAZ) 932                       does not trade
(DERTAZ) 933                       does not trade
(DERTAZ) 934                       does not trade
(DERTAZ) 935                       does not trade
(DERTAZ) 937                       does not trade
(DETRYTUS) 803                     does not trade
(DETRYTUS) 804         receives (MALEKITH_86) 25       and sends to (MAT_EYO) 205
(ELPRZYBYLLO) 46                   does not trade
(ELPRZYBYLLO) 48                   does not trade
(ELPRZYBYLLO) 50                   does not trade
(ELPRZYBYLLO) 52                   does not trade
(EQUILIBRIUMPL) 435                does not trade
(EQUILIBRIUMPL) 436                does not trade
(EQUILIBRIUMPL) 437                does not trade
(EQUILIBRIUMPL) 438                does not trade
(EQUILIBRIUMPL) 439                does not trade
(EQUILIBRIUMPL) 440    receives (CORQAN) 185           and sends to (MAZUR84) 666
(EQUILIBRIUMPL) 441                does not trade
(FANTAZYN) 267                     does not trade
(FANTAZYN) 268         receives (KMET) 614             and sends to (MOCKINGBIRD5433) 468
(FANTAZYN) 269                     does not trade
(FINNAN) 189                       does not trade
(FINNAN) 190                       does not trade
(FIZOLOF) 75           receives (_AIS_) 884            and sends to (PUASHEY90) 148
(FLOWERUS) 818                     does not trade
(FLOWERUS) 819                     does not trade
(FLOWERUS) 820                     does not trade
(FLOWERUS) 821         receives (SIPIO) 640            and sends to (PUASHEY90) 149
(FLOWERUS) 822                     does not trade
(FORDY2) 253                       does not trade
(FURAN) 274                        does not trade
(FURAN) 61                         does not trade
(FURAN) 63                         does not trade
(FURAN) 67             receives (KRIONAH) 355          and sends to (8RAMBO88) 241
(GINET1) 764           receives (ADALBERT) 215         and sends to (ARCRAYD) 554
(GINET1) 765           receives (JENNY70) 839          and sends to (SIPIO) 632
(GINET1) 766           receives (PERO PAMBARASCO) 856  and sends to (MOCKINGBIRD5433) 463
(GINET1) 767                       does not trade
(GINET1) 768                       does not trade
(GINET1) 769                       does not trade
(GINET1) 770                       does not trade
(GINET1) 772           receives (ZBAJSZEK) 601         and sends to (OSTRY) 657
(GINET1) 773                       does not trade
(GINET1) 774                       does not trade
(GINET1) 775                       does not trade
(GINET1) 776                       does not trade
(GLOGGIE) 611                      does not trade
(GOLONKO) 320                      does not trade
(GOLONKO) 321                      does not trade
(GOLONKO) 322          receives (BALIS) 727            and sends to (TOMZAQ) 515
(GOLONKO) 323                      does not trade
(GOLONKO) 324                      does not trade
(GOLONKO) 325          receives (MAT_EYO) 206          and sends to (BARTP) 128
(GOLONKO) 327                      does not trade
(GOLONKO) 794                      does not trade
(GOODGUY) 471          receives (MAZUR84) 666          and sends to (KRIONAH) 356
(GOODGUY) 472                      does not trade
(GOODGUY) 473                      does not trade
(GRALA) 257                        does not trade
(GRALA) 258            receives (KIDI) 532             and sends to (GURTH) 685
(GRALA) 259            receives (RAZUL) 87             and sends to (HANIAAA) 238
(GRUNWALD) 208                     does not trade
(GRUNWALD) 209                     does not trade
(GRUNWALD) 260                     does not trade
(GRZES19) 32                       does not trade
(GRZES19) 34                       does not trade
(GRZES19) 36                       does not trade
(GRZES19) 38                       does not trade
(GRZES19) 40                       does not trade
(GRZES19) 42                       does not trade
(GRZES19) 44                       does not trade
(GRZES19) 45                       does not trade
(GRZES19) 47                       does not trade
(GRZES19) 49                       does not trade
(GRZES19) 51                       does not trade
(GRZES19) 53                       does not trade
(GURTH) 685            receives (GRALA) 258            and sends to (PERO PAMBARASCO) 856
(GURTH) 686                        does not trade
(GURTH) 688                        does not trade
(GURTH) 689                        does not trade
(GURTH) 793                        does not trade
(HANIAAA) 238          receives (GRALA) 259            and sends to (CORQAN) 187
(HANIAAA) 239                      does not trade
(HANIAAA) 240                      does not trade
(HARUN) 287                        does not trade
(HARUN) 288                        does not trade
(HARUN) 289                        does not trade
(IDZIOL91) 413                     does not trade
(IDZIOL91) 414                     does not trade
(IDZIOL91) 415                     does not trade
(IDZIOL91) 416                     does not trade
(IDZIOL91) 417                     does not trade
(IDZIOL91) 418                     does not trade
(JACEKBARBER) 176                  does not trade
(JACEKBARBER) 177                  does not trade
(JACEKBARBER) 266                  does not trade
(JACEKBARBER) 771                  does not trade
(JACEKBARBER) 777                  does not trade
(JACEKBARBER) 778      receives (RAZUL) 235            and sends to (BALIS) 727
(JACEK_PL) 290                     does not trade
(JENNY70) 825                      does not trade
(JENNY70) 826                      does not trade
(JENNY70) 827                      does not trade
(JENNY70) 828                      does not trade
(JENNY70) 829                      does not trade
(JENNY70) 830                      does not trade
(JENNY70) 831                      does not trade
(JENNY70) 832                      does not trade
(JENNY70) 833                      does not trade
(JENNY70) 834                      does not trade
(JENNY70) 836                      does not trade
(JENNY70) 837                      does not trade
(JENNY70) 838                      does not trade
(JENNY70) 839          receives (CORTUMPL) 490         and sends to (GINET1) 765
(JENNY70) 840                      does not trade
(JENNY70) 841                      does not trade
(JENNY70) 842          receives (MOCKINGBIRD5433) 463  and sends to (RAZUL) 87
(JENNY70) 843                      does not trade
(JENNY70) 844                      does not trade
(JENNY70) 845          receives (VORONWE) 479          and sends to (MEFIUG) 434
(JENNY70) 846                      does not trade
(JENNY70) 848                      does not trade
(JINGOWAWA) 252                    does not trade
(JINGOWAWA) 801                    does not trade
