TradeMaximizer Version 1.4a
Options: ALLOW-DUMMIES LINEAR-PRIORITIES REQUIRE-COLONS REQUIRE-USERNAMES SHOW-MISSING SMALL-STEP=0 BIG-STEP=1

Input Checksum: 5a909d60639dc9db6755bfd2fdb91a4c
ERRORS:
**** Item %WENDAKE for user (MELLOWFRUIT) is repeated in want list for 451.
**** Item %YETI for user (SIPIO) is repeated in want list for 313.
**** Item 113 contains item 107 sender from the same user ((FIZOLOF))
**** Item 113 contains item 111 sender from the same user ((FIZOLOF))
**** Item 115 contains item 107 sender from the same user ((FIZOLOF))
**** Item 115 contains item 111 sender from the same user ((FIZOLOF))
**** Item 116 contains item 107 sender from the same user ((FIZOLOF))
**** Item 116 contains item 111 sender from the same user ((FIZOLOF))
**** Item 126 is repeated in want list for 113.
**** Item 126 is repeated in want list for 115.
**** Item 126 is repeated in want list for 116.
**** Item 644 is repeated in want list for 113.
**** Item 644 is repeated in want list for 115.
**** Item 644 is repeated in want list for 116.
**** Item 669 is repeated in want list for 468.
**** Item 669 is repeated in want list for 469.
**** Item 669 is repeated in want list for 470.
**** Item 676 has multiple want lists--ignoring all but first.  (Sometimes the result of an accidental line break in the middle of a want list.)
**** Item 676 has multiple want lists--ignoring all but first.  (Sometimes the result of an accidental line break in the middle of a want list.)
**** Unknown item 100 (5 occurrences)
**** Unknown item 108 (9 occurrences)
**** Unknown item 110 (9 occurrences)
**** Unknown item 112 (8 occurrences)
**** Unknown item 114 (17 occurrences)
**** Unknown item 173 (12 occurrences)
**** Unknown item 268 (2 occurrences)
**** Unknown item 576 (11 occurrences)
**** Unknown item 577 (17 occurrences)
**** Unknown item 578 (5 occurrences)
**** Unknown item 579 (4 occurrences)
**** Unknown item 580 (3 occurrences)
**** Unknown item 581 (6 occurrences)
**** Unknown item 713 (3 occurrences)
**** Unknown item 714 (3 occurrences)
**** Unknown item 715 (3 occurrences)
**** Unknown item 716 (3 occurrences)
**** Unknown item 717 (5 occurrences)
**** Unknown item 718 (5 occurrences)
**** Unknown item 719 (3 occurrences)
**** Unknown item 721 (3 occurrences)
**** Unknown item 722 (4 occurrences)
**** Unknown item 723 (3 occurrences)
**** Unknown item 724 (3 occurrences)
**** Unknown item 725 (4 occurrences)
**** Unknown item 790 (10 occurrences)
**** Unknown item 792 (3 occurrences)
**** Unknown item 794 (11 occurrences)
**** Unknown item 796 (3 occurrences)
**** Unknown item 89 (4 occurrences)
**** Unknown item 90 (8 occurrences)
**** Unknown item 94 (4 occurrences)
**** Unknown item 95 (5 occurrences)
**** Unknown item 96 (4 occurrences)
**** Unknown item 97 (4 occurrences)

TRADE LOOPS (147 total trades):

(_AIS_) 602             receives (ADMI99) 91
(KRISSOS) 402           receives (CIUNIEK) 482
(CIUNIEK) 482           receives (SANDY86) 514
(SANDY86) 514           receives (GRUCHA) 594
(GRUCHA) 594            receives (TUMINURE) 762
(TUMINURE) 762          receives (NADIS) 503
(NADIS) 503             receives (TUMINURE) 769
(TUMINURE) 769          receives (HAPPOSAI) 199
(HAPPOSAI) 199          receives (SIREVAN) 19
(SIREVAN) 19            receives (ORZEH) 148
(ORZEH) 148             receives (WUJEK2114) 624
(WUJEK2114) 624         receives (SEBASAMURAI) 156
(SEBASAMURAI) 156       receives (CORABB) 749
(CORABB) 749            receives (MNOWACZY) 375
(MNOWACZY) 375          receives (CHAABER) 574
(CHAABER) 574           receives (CRSUNIK) 409
(CRSUNIK) 409           receives (BARTP) 172
(BARTP) 172             receives (DETRYTUS) 331
(DETRYTUS) 331          receives (S3REK92) 516
(S3REK92) 516           receives (ROXAS1231) 633
(ROXAS1231) 633         receives (JOANNA_KOZLOWSKA6) 346
(JOANNA_KOZLOWSKA6) 346 receives (DONKICHOTE87) 420
(DONKICHOTE87) 420      receives (FPS_PYZ) 473
(FPS_PYZ) 473           receives (MELLOWFRUIT) 588
(MELLOWFRUIT) 588       receives (HAPPOSAI) 202
(HAPPOSAI) 202          receives (FANTAZYN) 48
(FANTAZYN) 48           receives (MARDAR) 178
(MARDAR) 178            receives (HAPPOSAI) 195
(HAPPOSAI) 195          receives (ADMI99) 66
(ADMI99) 66             receives (KASZKIET) 386
(KASZKIET) 386          receives (TIKTUK) 562
(TIKTUK) 562            receives (NEKKORU) 401
(NEKKORU) 401           receives (_AIS_) 602

(ADMI99) 65             receives (PIECHU) 689
(PIECHU) 689            receives (MAJKOS) 727
(MAJKOS) 727            receives (RAZUL) 772
(RAZUL) 772             receives (SANDY86) 531
(SANDY86) 531           receives (KLOS_X) 244
(KLOS_X) 244            receives (LUBEL) 312
(LUBEL) 312             receives (TOMZAQ) 487
(TOMZAQ) 487            receives (OMAM1234) 193
(OMAM1234) 193          receives (MULEK18) 217
(MULEK18) 217           receives (MARDAR) 175
(MARDAR) 175            receives (TIKTUK) 554
(TIKTUK) 554            receives (PATOLD) 430
(PATOLD) 430            receives (SIPIO) 320
(SIPIO) 320             receives (SEBASAMURAI) 155
(SEBASAMURAI) 155       receives (LUKASZ90) 463
(LUKASZ90) 463          receives (ROXAS1231) 636
(ROXAS1231) 636         receives (SIPIO) 308
(SIPIO) 308             receives (BARTP) 575
(BARTP) 575             receives (COIN22) 150
(COIN22) 150            receives (BALIS) 701
(BALIS) 701             receives (MALEKITH_86) 26
(MALEKITH_86) 26        receives (YUZJANNOWITZ) 39
(YUZJANNOWITZ) 39       receives (JENNY70) 542
(JENNY70) 542           receives (KMET) 680
(KMET) 680              receives (COIN22) 153
(COIN22) 153            receives (WIRACHA) 219
(WIRACHA) 219           receives (PUNRYK) 273
(PUNRYK) 273            receives (WUJEK2114) 591
(WUJEK2114) 591         receives (JOANNA_KOZLOWSKA6) 348
(JOANNA_KOZLOWSKA6) 348 receives (CORABB) 694
(CORABB) 694            receives (LUBEL) 315
(LUBEL) 315             receives (MARDAR) 182
(MARDAR) 182            receives (SIPIO) 322
(SIPIO) 322             receives (GURTH) 644
(GURTH) 644             receives (APIEJH) 627
(APIEJH) 627            receives (ADMI99) 65

(EQUILIBRIUMPL) 262     receives (MARDAR) 183
(MARDAR) 183            receives (PUNRYK) 272
(PUNRYK) 272            receives (KLOS_X) 238
(KLOS_X) 238            receives (EQUILIBRIUMPL) 262

(GRUNWALD) 340          receives (MALEKITH_86) 551
(MALEKITH_86) 551       receives (GRUNWALD) 340

(PIECHU) 371            receives (ZBAJSZEK) 445
(ZBAJSZEK) 445          receives (RAZUL) 782
(RAZUL) 782             receives (POKET) 745
(POKET) 745             receives (PIECHU) 371

ITEM SUMMARY (147 total trades):

(ADMI99) 205                        does not trade
(ADMI99) 206                        does not trade
(ADMI99) 64                         does not trade
(ADMI99) 65             receives (PIECHU) 689            and sends to (APIEJH) 627
(ADMI99) 66             receives (KASZKIET) 386          and sends to (HAPPOSAI) 195
(ADMI99) 67                         does not trade
(ADMI99) 68                         does not trade
(ADMI99) 69                         does not trade
(ADMI99) 70                         does not trade
(ADMI99) 91             receives (KLOS_X) 254            and sends to (_AIS_) 602
(ADMI99) 92                         does not trade
(ADMI99) 93                         does not trade
(ANAMAN) 625                        does not trade
(ANAMAN) 626                        does not trade
(ANIAGA) 198                        does not trade
(ANIAGA) 201            receives (BALIS) 704             and sends to (DONKICHOTE87) 418
(ANIAGA) 398                        does not trade
(ANIAGA) 399                        does not trade
(ANIAGA) 400                        does not trade
(ANIAW89) 501                       does not trade
(ANIOL1979) 677                     does not trade
(ANIOL1979) 678                     does not trade
(ANIOL1979) 687                     does not trade
(APIEJH) 627            receives (ADMI99) 65             and sends to (GURTH) 644
(APIEJH) 629                        does not trade
(APIEJH) 631                        does not trade
(APIEJH) 690                        does not trade
(ARHTU) 333                         does not trade
(ARHTU) 334             receives (JACEKBARBER) 413       and sends to (CRSUNIK) 81
(ARHTU) 335                         does not trade
(ARHTU) 336                         does not trade
(ARHTU) 337                         does not trade
(BADYL) 207                         does not trade
(BADYL) 208                         does not trade
(BADYL) 209                         does not trade
(BADYL) 210                         does not trade
(BADYL) 211                         does not trade
(BALIS) 701             receives (MALEKITH_86) 26        and sends to (COIN22) 150
(BALIS) 702                         does not trade
(BALIS) 703                         does not trade
(BALIS) 704             receives (SYDONIAA) 17           and sends to (ANIAGA) 201
(BALIS) 706                         does not trade
(BALIS) 707                         does not trade
(BALIS) 708                         does not trade
(BALIS) 709                         does not trade
(BARTG) 488                         does not trade
(BARTG) 489                         does not trade
(BARTG) 490                         does not trade
(BARTG) 491                         does not trade
(BARTG) 492                         does not trade
(BARTG) 493                         does not trade
(BARTG) 494                         does not trade
(BARTG) 495                         does not trade
(BARTG) 496                         does not trade
(BARTG) 497                         does not trade
(BARTG) 498                         does not trade
(BARTP) 157                         does not trade
(BARTP) 158                         does not trade
(BARTP) 159                         does not trade
(BARTP) 160                         does not trade
(BARTP) 161                         does not trade
(BARTP) 162                         does not trade
(BARTP) 164                         does not trade
(BARTP) 166                         does not trade
(BARTP) 169                         does not trade
(BARTP) 170                         does not trade
(BARTP) 172             receives (DETRYTUS) 331          and sends to (CRSUNIK) 409
(BARTP) 575             receives (COIN22) 150            and sends to (SIPIO) 308
(CHAABER) 568                       does not trade
(CHAABER) 569                       does not trade
(CHAABER) 570                       does not trade
(CHAABER) 571                       does not trade
(CHAABER) 572                       does not trade
(CHAABER) 573                       does not trade
(CHAABER) 574           receives (CRSUNIK) 409           and sends to (MNOWACZY) 375
(CHRUSZCZOW) 653                    does not trade
(CIUNIEK) 478                       does not trade
(CIUNIEK) 479                       does not trade
(CIUNIEK) 480                       does not trade
(CIUNIEK) 481                       does not trade
(CIUNIEK) 482           receives (SANDY86) 514           and sends to (KRISSOS) 402
(CIUNIEK) 483                       does not trade
(CIUNIEK) 484           receives (TIKTUK) 552            and sends to (MAT_EYO) 671
(CIUNIEK) 485           receives (MAT_EYO) 671           and sends to (MALEKITH_86) 28
(COIN22) 150            receives (BALIS) 701             and sends to (BARTP) 575
(COIN22) 153            receives (WIRACHA) 219           and sends to (KMET) 680
(CORABB) 692                        does not trade
(CORABB) 693                        does not trade
(CORABB) 694            receives (LUBEL) 315             and sends to (JOANNA_KOZLOWSKA6) 348
(CORABB) 699                        does not trade
(CORABB) 700                        does not trade
(CORABB) 749            receives (MNOWACZY) 375          and sends to (SEBASAMURAI) 156
(CRSUNIK) 257                       does not trade
(CRSUNIK) 258                       does not trade
(CRSUNIK) 293                       does not trade
(CRSUNIK) 294                       does not trade
(CRSUNIK) 304                       does not trade
(CRSUNIK) 350                       does not trade
(CRSUNIK) 407                       does not trade
(CRSUNIK) 408                       does not trade
(CRSUNIK) 409           receives (BARTP) 172             and sends to (CHAABER) 574
(CRSUNIK) 655                       does not trade
(CRSUNIK) 81            receives (ARHTU) 334             and sends to (PROBBI) 290
(CRSUNIK) 82                        does not trade
(CRSUNIK) 83                        does not trade
(CRSUNIK) 84                        does not trade
(CRSUNIK) 85                        does not trade
(CRSUNIK) 86                        does not trade
(CRSUNIK) 87                        does not trade
(CRSUNIK) 88                        does not trade
(CYBEROWCA) 500                     does not trade
(DETRYTUS) 330                      does not trade
(DETRYTUS) 331          receives (S3REK92) 516           and sends to (BARTP) 172
(DETRYTUS) 332                      does not trade
(DETRYTUS) 642                      does not trade
(DETRYTUS) 643                      does not trade
(DONKICHOTE87) 417      receives (GOLONKO) 171           and sends to (MALEKITH_86) 25
(DONKICHOTE87) 418      receives (ANIAGA) 201            and sends to (KLOS_X) 254
(DONKICHOTE87) 419      receives (FPS_PYZ) 471           and sends to (KLOS_X) 251
(DONKICHOTE87) 420      receives (FPS_PYZ) 473           and sends to (JOANNA_KOZLOWSKA6) 346
(DONKICHOTE87) 421                  does not trade
(DONKICHOTE87) 422                  does not trade
(DONKICHOTE87) 423                  does not trade
(DONKICHOTE87) 424                  does not trade
(DONKICHOTE87) 425                  does not trade
(DONKICHOTE87) 426                  does not trade
(DONKICHOTE87) 427                  does not trade
(DRKLINGMANN) 306                   does not trade
(ELPRZYBYLLO) 705                   does not trade
(EQUILIBRIUMPL) 259                 does not trade
(EQUILIBRIUMPL) 260                 does not trade
(EQUILIBRIUMPL) 261                 does not trade
(EQUILIBRIUMPL) 262     receives (MARDAR) 183            and sends to (KLOS_X) 238
(EQUILIBRIUMPL) 263                 does not trade
(EQUILIBRIUMPL) 264                 does not trade
(EQUILIBRIUMPL) 265                 does not trade
(EQUILIBRIUMPL) 266                 does not trade
(EQUILIBRIUMPL) 267                 does not trade
(FANTAZYN) 47                       does not trade
(FANTAZYN) 48           receives (MARDAR) 178            and sends to (HAPPOSAI) 202
(FANTAZYN) 49                       does not trade
(FIZOLOF) 105           receives (KLOS_X) 251            and sends to (TUMINURE) 766
(FIZOLOF) 107           receives (ROXAS1231) 632         and sends to (STASZEK) 466
(FIZOLOF) 109                       does not trade
(FIZOLOF) 111                       does not trade
(FIZOLOF) 113                       does not trade
(FIZOLOF) 115                       does not trade
(FIZOLOF) 116                       does not trade
(FPS_PYZ) 471           receives (STRASZNY) 649          and sends to (DONKICHOTE87) 419
(FPS_PYZ) 472                       does not trade
(FPS_PYZ) 473           receives (MELLOWFRUIT) 588       and sends to (DONKICHOTE87) 420
(FPS_PYZ) 474                       does not trade
(FPS_PYZ) 475                       does not trade
(FPS_PYZ) 476                       does not trade
(FPS_PYZ) 477                       does not trade
(FURAN) 695                         does not trade
(GEKOPL) 486                        does not trade
(GINET1) 1                          does not trade
(GINET1) 2                          does not trade
(GINET1) 3                          does not trade
(GINET1) 4                          does not trade
(GINET1) 5                          does not trade
(GINET1) 6                          does not trade
(GODUNOW) 101                       does not trade
(GODUNOW) 102                       does not trade
(GODUNOW) 103                       does not trade
(GODUNOW) 104                       does not trade
(GOLEBIOWSKI) 499                   does not trade
(GOLONKO) 171           receives (RAZUL) 780             and sends to (DONKICHOTE87) 417
(GRUCHA) 592                        does not trade
(GRUCHA) 593                        does not trade
(GRUCHA) 594            receives (TUMINURE) 762          and sends to (SANDY86) 514
(GRUCHA) 595                        does not trade
(GRUCHA) 596                        does not trade
(GRUNWALD) 338                      does not trade
(GRUNWALD) 339                      does not trade
(GRUNWALD) 340          receives (MALEKITH_86) 551       and sends to (MALEKITH_86) 551
(GRUNWALD) 341          receives (MALEKITH_86) 28        and sends to (KRIONAH) 374
(GRUNWALD) 342                      does not trade
(GRUNWALD) 343          receives (_AIS_) 604             and sends to (ROXAS1231) 632
(GURTH) 644             receives (APIEJH) 627            and sends to (SIPIO) 322
(GURTH) 645             receives (SYDONIAA) 11           and sends to (RUDEMAN) 277
(HAPPOSAI) 195          receives (ADMI99) 66             and sends to (MARDAR) 178
(HAPPOSAI) 196                      does not trade
(HAPPOSAI) 197                      does not trade
(HAPPOSAI) 199          receives (SIREVAN) 19            and sends to (TUMINURE) 769
(HAPPOSAI) 200                      does not trade
(HAPPOSAI) 202          receives (FANTAZYN) 48           and sends to (MELLOWFRUIT) 588
(HAPPOSAI) 203                      does not trade
(HAPPOSAI) 204                      does not trade
(JACEKBARBER) 413       receives (MACKILL) 98            and sends to (ARHTU) 334
(JACEKBARBER) 414                   does not trade
(JACEKBARBER) 415                   does not trade
(JACEKBARBER) 416                   does not trade
(JENNY70) 518                       does not trade
(JENNY70) 519                       does not trade
(JENNY70) 521                       does not trade
(JENNY70) 523                       does not trade
(JENNY70) 524                       does not trade
(JENNY70) 525                       does not trade
(JENNY70) 526                       does not trade
(JENNY70) 527                       does not trade
(JENNY70) 528                       does not trade
(JENNY70) 529                       does not trade
(JENNY70) 530                       does not trade
(JENNY70) 532                       does not trade
(JENNY70) 533                       does not trade
(JENNY70) 534                       does not trade
(JENNY70) 535                       does not trade
(JENNY70) 536                       does not trade
(JENNY70) 537                       does not trade
(JENNY70) 538                       does not trade
(JENNY70) 539                       does not trade
(JENNY70) 540                       does not trade
(JENNY70) 541                       does not trade
(JENNY70) 542           receives (KMET) 680              and sends to (YUZJANNOWITZ) 39
(JENNY70) 543                       does not trade
(JENNY70) 544                       does not trade
(JENNY70) 545                       does not trade
(JENNY70) 546                       does not trade
(JENNY70) 547                       does not trade
(JENNY70) 548                       does not trade
(JENNY70) 549                       does not trade
(JENNY70) 550                       does not trade
(JOANNA_KOZLOWSKA6) 344             does not trade
(JOANNA_KOZLOWSKA6) 345             does not trade
(JOANNA_KOZLOWSKA6) 346 receives (DONKICHOTE87) 420      and sends to (ROXAS1231) 633
(JOANNA_KOZLOWSKA6) 347             does not trade
(JOANNA_KOZLOWSKA6) 348 receives (CORABB) 694            and sends to (WUJEK2114) 591
(JOANNA_KOZLOWSKA6) 349             does not trade
(JONEK) 672                         does not trade
(JONEK) 673                         does not trade
(JONEK) 674                         does not trade
(JONEK) 675                         does not trade
(JONEK) 676             receives (SPRYSIALDO) 428        and sends to (TUMINURE) 764
(KALLAK) 583                        does not trade
(KALLAK) 584                        does not trade
(KALLAK) 585                        does not trade
(KALLAK) 586                        does not trade
(KALLAK) 587                        does not trade
(KASZKIET) 120                      does not trade
(KASZKIET) 121                      does not trade
(KASZKIET) 122                      does not trade
(KASZKIET) 123                      does not trade
(KASZKIET) 124                      does not trade
(KASZKIET) 125          receives (KROMKA) 43             and sends to (LUBOY) 44
(KASZKIET) 129                      does not trade
(KASZKIET) 130                      does not trade
(KASZKIET) 131          receives (QBALDUS1) 119          and sends to (ROXAS1231) 630
(KASZKIET) 386          receives (TIKTUK) 562            and sends to (ADMI99) 66
(KASZKIET) 410                      does not trade
(KDSZ) 53                           does not trade
(KDSZ) 55                           does not trade
(KDSZ) 56                           does not trade
(KDSZ) 57                           does not trade
(KDSZ) 58                           does not trade
(KDSZ) 59                           does not trade
(KDSZ) 60                           does not trade
(KDSZ) 61                           does not trade
(KDSZ) 62                           does not trade
(KERUKR) 746                        does not trade
(KERUKR) 747                        does not trade
(KERUKR) 748                        does not trade
(KLOS_X) 226                        does not trade
(KLOS_X) 227                        does not trade
(KLOS_X) 228                        does not trade
(KLOS_X) 229                        does not trade
(KLOS_X) 230                        does not trade
(KLOS_X) 231                        does not trade
(KLOS_X) 232                        does not trade
(KLOS_X) 233                        does not trade
(KLOS_X) 234                        does not trade
(KLOS_X) 235                        does not trade
(KLOS_X) 236                        does not trade
(KLOS_X) 237                        does not trade
(KLOS_X) 238            receives (EQUILIBRIUMPL) 262     and sends to (PUNRYK) 272
(KLOS_X) 239                        does not trade
(KLOS_X) 240                        does not trade
(KLOS_X) 241                        does not trade
(KLOS_X) 242                        does not trade
(KLOS_X) 243                        does not trade
(KLOS_X) 244            receives (LUBEL) 312             and sends to (SANDY86) 531
(KLOS_X) 245                        does not trade
(KLOS_X) 246                        does not trade
(KLOS_X) 247                        does not trade
(KLOS_X) 248                        does not trade
(KLOS_X) 249                        does not trade
(KLOS_X) 250                        does not trade
(KLOS_X) 251            receives (DONKICHOTE87) 419      and sends to (FIZOLOF) 105
(KLOS_X) 252                        does not trade
(KLOS_X) 253                        does not trade
(KLOS_X) 254            receives (DONKICHOTE87) 418      and sends to (ADMI99) 91
(KLOS_X) 255                        does not trade
(KLOS_X) 256                        does not trade
(KMET) 680              receives (COIN22) 153            and sends to (JENNY70) 542
(KMET) 683                          does not trade
(KMET) 684                          does not trade
(KMET) 685                          does not trade
(KMET) 686              receives (RAZUL) 770             and sends to (KRISSOS) 404
(KMET) 691                          does not trade
(KOSHIASH) 222                      does not trade
(KOSHIASH) 223          receives (RUDEMAN) 277           and sends to (STRASZNY) 649
(KOSHIASH) 224                      does not trade
(KRIONAH) 372                       does not trade
(KRIONAH) 373                       does not trade
(KRIONAH) 374           receives (GRUNWALD) 341          and sends to (TUMINURE) 761
(KRISSOS) 402           receives (CIUNIEK) 482           and sends to (_AIS_) 604
(KRISSOS) 403                       does not trade
(KRISSOS) 404           receives (KMET) 686              and sends to (MUK83) 412
(KRISSOS) 405                       does not trade
(KRISSOS) 406                       does not trade
(KROMKA) 27                         does not trade
(KROMKA) 29                         does not trade
(KROMKA) 35                         does not trade
(KROMKA) 37                         does not trade
(KROMKA) 40                         does not trade
(KROMKA) 41                         does not trade
(KROMKA) 43             receives (SCHLESSIER) 380        and sends to (KASZKIET) 125
(KROMKA) 45                         does not trade
(LARRY2903) 50                      does not trade
(LARRY2903) 51                      does not trade
(LARRY2903) 52                      does not trade
(LASSE LINDSTROM) 639   receives (STRASZNY) 654          and sends to (SPRYSIALDO) 428
(LASSE LINDSTROM) 640               does not trade
(LASSE LINDSTROM) 641               does not trade
(LOTHEG) 286                        does not trade
(LOTHEG) 287                        does not trade
(LUBEL) 309             receives (TUMINURE) 764          and sends to (TIKTUK) 552
(LUBEL) 310                         does not trade
(LUBEL) 312             receives (TOMZAQ) 487            and sends to (KLOS_X) 244
(LUBEL) 315             receives (MARDAR) 182            and sends to (CORABB) 694
(LUBEL) 317                         does not trade
(LUBOY) 319                         does not trade
(LUBOY) 42              receives (MAJKOS) 726            and sends to (MELLOWFRUIT) 434
(LUBOY) 44              receives (KASZKIET) 125          and sends to (NADIS) 383
(LUBOY) 46                          does not trade
(LUBOY) 54                          does not trade
(LUKASZ90) 459                      does not trade
(LUKASZ90) 460                      does not trade
(LUKASZ90) 461                      does not trade
(LUKASZ90) 462                      does not trade
(LUKASZ90) 463          receives (ROXAS1231) 636         and sends to (SEBASAMURAI) 155
(LUKASZ90) 464                      does not trade
(LYSYPK) 126                        does not trade
(MACKILL) 98            receives (NADIS) 385             and sends to (JACEKBARBER) 413
(MACKILL) 99                        does not trade
(MAJKOS) 726            receives (MUK83) 412             and sends to (LUBOY) 42
(MAJKOS) 727            receives (RAZUL) 772             and sends to (PIECHU) 689
(MALEKITH_86) 21                    does not trade
(MALEKITH_86) 22                    does not trade
(MALEKITH_86) 23                    does not trade
(MALEKITH_86) 24                    does not trade
(MALEKITH_86) 25        receives (DONKICHOTE87) 417      and sends to (SYDONIAA) 17
