TradeMaximizer Version 1.4a
Options: ALLOW-DUMMIES LINEAR-PRIORITIES REQUIRE-COLONS REQUIRE-USERNAMES SHOW-MISSING SMALL-STEP=0 BIG-STEP=1

Input Checksum: 6575579fb1848a58172e4e399946712e
ERRORS:
**** Item %BONFIRE for user (ISKRANAPROCHY) is repeated in want list for 2619.
**** Item %DARWIN for user (JAGASTR) has multiple want lists--ignoring all but first.  (Sometimes the result of an accidental line break in the middle of a want list.)
**** Item %DARWIN for user (JAGASTR) is repeated in want list for 2275.
**** Item %DARWIN for user (JAGASTR) is repeated in want list for 2277.
**** Item %DARWIN for user (JAGASTR) is repeated in want list for 2285.
**** Item %DWERGAR for user (KUSIEN) has multiple want lists--ignoring all but first.  (Sometimes the result of an accidental line break in the middle of a want list.)
**** Item %FORGOTTEN_WATERS for user (MARTIXX) is repeated in want list for 1513.
**** Item %FROSTPUNK_ALL_IN for user (POLO15) is repeated in want list for 739.
**** Item %SMALL_WORLD for user (ROPSONIK) is repeated in want list for 1557.
**** Item %SMALL_WORLD for user (ROPSONIK) is repeated in want list for 1559.
**** Item %SMALL_WORLD for user (ROPSONIK) is repeated in want list for 1561.
**** Item %SMALL_WORLD for user (ROPSONIK) is repeated in want list for 1564.
**** Item %SMALL_WORLD for user (ROPSONIK) is repeated in want list for 1566.
**** Item 1483 is repeated in want list for 2094.
**** Item 1851 is repeated in want list for 820.
**** Item 1851 is repeated in want list for 869.
**** Item 1851 is repeated in want list for 870.
**** Item 1851 is repeated in want list for 871.
**** Item 1851 is repeated in want list for 872.
**** Item 1851 is repeated in want list for 875.
**** Item 1851 is repeated in want list for 879.
**** Item 1851 is repeated in want list for 987.
**** Item 1852 is repeated in want list for 869.
**** Item 1852 is repeated in want list for 870.
**** Item 1852 is repeated in want list for 871.
**** Item 1852 is repeated in want list for 872.
**** Item 1852 is repeated in want list for 875.
**** Item 1852 is repeated in want list for 879.
**** Item 1852 is repeated in want list for 987.
**** Item 1883 is repeated in want list for 820.
**** Item 197 is repeated in want list for 1236.
**** Item 1973 is repeated in want list for 1527.
**** Item 228 is repeated in want list for 869.
**** Item 228 is repeated in want list for 870.
**** Item 228 is repeated in want list for 871.
**** Item 228 is repeated in want list for 872.
**** Item 228 is repeated in want list for 875.
**** Item 228 is repeated in want list for 879.
**** Item 228 is repeated in want list for 987.
**** Item 2291 is repeated in want list for 2108.
**** Item 2496 is repeated in want list for 1236.
**** Item 326 is repeated in want list for 2094.
**** Item 351 is repeated in want list for 1236.
**** Item 432 is repeated in want list for 2215.
**** Item 855 is repeated in want list for 2094.
**** Item 878 is repeated in want list for %ROLL_PLAYER for user (JAGGA68).
**** Unknown item %1700438958179 for user (DGRODO) (2 occurrences)
**** Unknown item %BONFIRE_BONFIRE_TREES_CREATURES for user (GABENS29) (1 occurrence)
**** Unknown item %PANDEMIC_FALL_OF_ROME for user (KURUNIR) (1 occurrence)
**** Unknown item %THE_KING_IS_DEAD_SECOND_EDITION_THE_KING_IS_DEAD_BETRAY_PROMO_CARD for user (LEINADUS) (2 occurrences)
**** Unknown item 042 (1 occurrence)
**** Unknown item 1459 (16 occurrences)
**** Unknown item 1462 (4 occurrences)
**** Unknown item 1464 (1 occurrence)
**** Unknown item 1466 (4 occurrences)
**** Unknown item 1468 (50 occurrences)
**** Unknown item 1757 (11 occurrences)
**** Unknown item 1762 (13 occurrences)
**** Unknown item 1764 (4 occurrences)
**** Unknown item 1766 (8 occurrences)
**** Unknown item 1768 (11 occurrences)
**** Unknown item 2164 (8 occurrences)
**** Unknown item 2167 (6 occurrences)
**** Unknown item 2169 (2 occurrences)
**** Unknown item 2170 (30 occurrences)
**** Unknown item 2172 (29 occurrences)
**** Unknown item 2173 (31 occurrences)
**** Unknown item 2175 (44 occurrences)
**** Unknown item 2179 (48 occurrences)
**** Unknown item 2180 (29 occurrences)
**** Unknown item 2181 (5 occurrences)
**** Unknown item 2182 (7 occurrences)
**** Unknown item 2222 (73 occurrences)
**** Unknown item 2224 (31 occurrences)
**** Unknown item 2225 (39 occurrences)
**** Unknown item 2228 (61 occurrences)
**** Unknown item 2230 (6 occurrences)
**** Unknown item 2249 (45 occurrences)
**** Unknown item 2253 (18 occurrences)
**** Unknown item 2490 (39 occurrences)
**** Unknown item 2492 (1 occurrence)
**** Unknown item 2577 (1 occurrence)
**** Unknown item 2578 (60 occurrences)
**** Unknown item 2580 (16 occurrences)
**** Unknown item 2583 (25 occurrences)
**** Unknown item 2585 (29 occurrences)
**** Unknown item 2588 (2 occurrences)
**** Unknown item 2589 (2 occurrences)
**** Unknown item 2594 (31 occurrences)
**** Unknown item 2595 (14 occurrences)
**** Unknown item 2596 (38 occurrences)
**** Unknown item 308 (70 occurrences)
**** Unknown item 309 (6 occurrences)
**** Unknown item 310 (63 occurrences)
**** Unknown item 311 (5 occurrences)
**** Unknown item 312 (107 occurrences)
**** Unknown item 394 (33 occurrences)
**** Unknown item 559 (4 occurrences)

TRADE LOOPS (715 total trades):

(_SLY_) 451            receives (ANOPTICHTYS) 1614
(BAARTOSZZ) 374        receives (KARTMAN7) 587
(KARTMAN7) 587         receives (POLO15) 745
(POLO15) 745           receives (NOSIADBT1100) 2343
(NOSIADBT1100) 2343    receives (FPS_PYZ) 1704
(FPS_PYZ) 1704         receives (ANIAW89) 476
(ANIAW89) 476          receives (WOJCIECHS) 1644
(WOJCIECHS) 1644       receives (PATRYKGALKA) 61
(PATRYKGALKA) 61       receives (VORONWE) 894
(VORONWE) 894          receives (SAWMODY) 349
(SAWMODY) 349          receives (KORPOREJSZYN) 1121
(KORPOREJSZYN) 1121    receives (MTNW) 1284
(MTNW) 1284            receives (ARCRAYD) 1089
(ARCRAYD) 1089         receives (JACEKBARBER) 1348
(JACEKBARBER) 1348     receives (PATT23R) 1305
(PATT23R) 1305         receives (KARTMAN7) 592
(KARTMAN7) 592         receives (SWIROFF) 922
(SWIROFF) 922          receives (RODAN77) 1132
(RODAN77) 1132         receives (LISEK2000) 1550
(LISEK2000) 1550       receives (BIGBADSHEEP) 1663
(BIGBADSHEEP) 1663     receives (SZAFARCZYK5) 266
(SZAFARCZYK5) 266      receives (SYDONIAA) 47
(SYDONIAA) 47          receives (DIBBLER) 568
(DIBBLER) 568          receives (ARAS_SWAJ) 2084
(ARAS_SWAJ) 2084       receives (MARTIXX) 1513
(MARTIXX) 1513         receives (PROBBI) 1476
(PROBBI) 1476          receives (FREYA2226) 2004
(FREYA2226) 2004       receives (RAFMIX) 774
(RAFMIX) 774           receives (LISEK2000) 1532
(LISEK2000) 1532       receives (YOORECK) 376
(YOORECK) 376          receives (RAZUL) 2149
(RAZUL) 2149           receives (KUSIEN) 1265
(KUSIEN) 1265          receives (VAGABOOOND) 2177
(VAGABOOOND) 2177      receives (PATRYKGALKA) 1190
(PATRYKGALKA) 1190     receives (PIZZACHIP) 759
(PIZZACHIP) 759        receives (DOCIA) 2606
(DOCIA) 2606           receives (PIZZACHIP) 757
(PIZZACHIP) 757        receives (KALAY) 670
(KALAY) 670            receives (MAJZOWNIK) 1079
(MAJZOWNIK) 1079       receives (HELLOWEEN85) 858
(HELLOWEEN85) 858      receives (BART HENRY) 2236
(BART HENRY) 2236      receives (DGRODO) 1433
(DGRODO) 1433          receives (FURAN) 857
(FURAN) 857            receives (SCRABER) 326
(SCRABER) 326          receives (RAFMIX) 764
(RAFMIX) 764           receives (BART HENRY) 2197
(BART HENRY) 2197      receives (LUKASHI) 610
(LUKASHI) 610          receives (POLO15) 735
(POLO15) 735           receives (KRASNY853) 2200
(KRASNY853) 2200       receives (LUKASHI) 595
(LUKASHI) 595          receives (CHARLIEVEGAN) 717
(CHARLIEVEGAN) 717     receives (PANNORY) 688
(PANNORY) 688          receives (JENNY70) 2244
(JENNY70) 2244         receives (MAGUN071) 516
(MAGUN071) 516         receives (YOSEK) 243
(YOSEK) 243            receives (RAZUL) 2145
(RAZUL) 2145           receives (APRIEL) 906
(APRIEL) 906           receives (TOPBGG) 1845
(TOPBGG) 1845          receives (VORONWE) 878
(VORONWE) 878          receives (GABENS29) 206
(GABENS29) 206         receives (AGAMEMNONXD) 2266
(AGAMEMNONXD) 2266     receives (CORRAN) 437
(CORRAN) 437           receives (RYSKAL) 1142
(RYSKAL) 1142          receives (DENINIS) 493
(DENINIS) 493          receives (MARUDA_24) 1046
(MARUDA_24) 1046       receives (GRUNWALD) 490
(GRUNWALD) 490         receives (JNOWACZY) 427
(JNOWACZY) 427         receives (PATRYKGALKA) 93
(PATRYKGALKA) 93       receives (PUSHEENEIRO) 2496
(PUSHEENEIRO) 2496     receives (PATRYKGALKA) 172
(PATRYKGALKA) 172      receives (DENINIS) 535
(DENINIS) 535          receives (KOSHIASH) 1259
(KOSHIASH) 1259        receives (MAMCZAR63) 1229
(MAMCZAR63) 1229       receives (JAKUBWAKIEC) 685
(JAKUBWAKIEC) 685      receives (KOMIX) 1601
(KOMIX) 1601           receives (REEVS) 2566
(REEVS) 2566           receives (ANOPTICHTYS) 2554
(ANOPTICHTYS) 2554     receives (ELPRZYBYLLO) 1270
(ELPRZYBYLLO) 1270     receives (WARRTAIN) 1172
(WARRTAIN) 1172        receives (LISEK2000) 1577
(LISEK2000) 1577       receives (SYDONIAA) 1890
(SYDONIAA) 1890        receives (FIZOLOF) 2053
(FIZOLOF) 2053         receives (ZGREDZIO13) 1781
(ZGREDZIO13) 1781      receives (LADZIK) 2217
(LADZIK) 2217          receives (KLANCYG) 1919
(KLANCYG) 1919         receives (ROPSONIK) 1562
(ROPSONIK) 1562        receives (OSTRY) 191
(OSTRY) 191            receives (RYSKAL) 1149
(RYSKAL) 1149          receives (MZEPTER) 1497
(MZEPTER) 1497         receives (PANCOR) 2421
(PANCOR) 2421          receives (PUSHEENEIRO) 832
(PUSHEENEIRO) 832      receives (TOPBGG) 1852
(TOPBGG) 1852          receives (REIGNX) 2298
(REIGNX) 2298          receives (TOPBGG) 1846
(TOPBGG) 1846          receives (ASPENNR) 286
(ASPENNR) 286          receives (REVACHOLIAN) 1268
(REVACHOLIAN) 1268     receives (PANCOR) 2309
(PANCOR) 2309          receives (OSTRY) 196
(OSTRY) 196            receives (SWIROFF) 926
(SWIROFF) 926          receives (KOMIX) 1594
(KOMIX) 1594           receives (KONRADSTPN) 281
(KONRADSTPN) 281       receives (REVACHOLIAN) 548
(REVACHOLIAN) 548      receives (PANDORZECZA) 1591
(PANDORZECZA) 1591     receives (POLO15) 740
(POLO15) 740           receives (ALUCARD8282) 990
(ALUCARD8282) 990      receives (RAFMIX) 773
(RAFMIX) 773           receives (RHINO055) 2198
(RHINO055) 2198        receives (TRINGA) 1127
(TRINGA) 1127          receives (GABENS29) 208
(GABENS29) 208         receives (ANAMAN) 473
(ANAMAN) 473           receives (KOMIX) 1590
(KOMIX) 1590           receives (QRZY88) 1416
(QRZY88) 1416          receives (GABENS29) 209
(GABENS29) 209         receives (MADZIALENA7) 2104
(MADZIALENA7) 2104     receives (DARKERSIDE) 944
(DARKERSIDE) 944       receives (BART HENRY) 2284
(BART HENRY) 2284      receives (RHINO055) 1883
(RHINO055) 1883        receives (DENINIS) 525
(DENINIS) 525          receives (WOOL_F) 2387
(WOOL_F) 2387          receives (ELPRZYBYLLO) 1269
(ELPRZYBYLLO) 1269     receives (MAMCZAR63) 1233
(MAMCZAR63) 1233       receives (ASPENNR) 1677
(ASPENNR) 1677         receives (JOANNAALICJA) 298
(JOANNAALICJA) 298     receives (MARKOO) 2584
(MARKOO) 2584          receives (DOCIA) 2613
(DOCIA) 2613           receives (PATRYKGALKA) 167
(PATRYKGALKA) 167      receives (XENIR) 693
(XENIR) 693            receives (KURUNIR) 690
(KURUNIR) 690          receives (RYSKAL) 1163
(RYSKAL) 1163          receives (CORQAN) 284
(CORQAN) 284           receives (AFGNCAAP) 702
(AFGNCAAP) 702         receives (CORQAN) 283
(CORQAN) 283           receives (ALUCARD8282) 993
(ALUCARD8282) 993      receives (ZAWATERNIOK) 288
(ZAWATERNIOK) 288      receives (KOPEC) 1105
(KOPEC) 1105           receives (REEVS) 2568
(REEVS) 2568           receives (UNKNOWN0) 465
(UNKNOWN0) 465         receives (CORRAN) 441
(CORRAN) 441           receives (SWIROFF) 935
(SWIROFF) 935          receives (BOGAS_9) 1657
(BOGAS_9) 1657         receives (RALFMARK) 1767
(RALFMARK) 1767        receives (RUTRA1992) 1297
(RUTRA1992) 1297       receives (MTNW) 1282
(MTNW) 1282            receives (CHARLIEVEGAN) 1139
(CHARLIEVEGAN) 1139    receives (JENNY70) 2239
(JENNY70) 2239         receives (JAKUBWAKIEC) 676
(JAKUBWAKIEC) 676      receives (PANDORZECZA) 1521
(PANDORZECZA) 1521     receives (SKOTI) 1897
(SKOTI) 1897           receives (JAGASTR) 2287
(JAGASTR) 2287         receives (MARKOO) 2592
(MARKOO) 2592          receives (PATRYKGALKA) 169
(PATRYKGALKA) 169      receives (PEPER777) 972
(PEPER777) 972         receives (RYSKAL) 1161
(RYSKAL) 1161          receives (GRUNWALD) 487
(GRUNWALD) 487         receives (BOGAS_9) 1651
(BOGAS_9) 1651         receives (CIUPAKABRA997) 238
(CIUPAKABRA997) 238    receives (SILLUE) 2117
(SILLUE) 2117          receives (PATT23R) 1301
(PATT23R) 1301         receives (KOPEC) 1102
(KOPEC) 1102           receives (MARSJANKA) 1900
(MARSJANKA) 1900       receives (XEROPHINE) 1935
(XEROPHINE) 1935       receives (TRINGA) 1128
(TRINGA) 1128          receives (BAAKA) 704
(BAAKA) 704            receives (MADZIALENA7) 2105
(MADZIALENA7) 2105     receives (DGRODO) 1446
(DGRODO) 1446          receives (BJOZWIAK) 2289
(BJOZWIAK) 2289        receives (VOYDEN) 111
(VOYDEN) 111           receives (FPS_PYZ) 2025
(FPS_PYZ) 2025         receives (ATOJEST) 1350
(ATOJEST) 1350         receives (PATRYKGALKA) 52
(PATRYKGALKA) 52       receives (REIGNX) 2292
(REIGNX) 2292          receives (NEDENO) 630
(NEDENO) 630           receives (DIBBLER) 569
(DIBBLER) 569          receives (WOOL_F) 2377
(WOOL_F) 2377          receives (RAISTLINJEDYNY) 1249
(RAISTLINJEDYNY) 1249  receives (WAGNER123) 397
(WAGNER123) 397        receives (RALFMARK) 1774
(RALFMARK) 1774        receives (DOCIA) 2608
(DOCIA) 2608           receives (KLOS_X) 2547
(KLOS_X) 2547          receives (ZGREDZIO13) 1779
(ZGREDZIO13) 1779      receives (SWONICK) 1847
(SWONICK) 1847         receives (POLO15) 728
(POLO15) 728           receives (MIDNIGHTJACK) 2485
(MIDNIGHTJACK) 2485    receives (DEEDO72) 2076
(DEEDO72) 2076         receives (UNKNOWN0) 466
(UNKNOWN0) 466         receives (TH13TEEN) 1336
(TH13TEEN) 1336        receives (KARTMAN7) 983
(KARTMAN7) 983         receives (RYSKA) 1043
(RYSKA) 1043           receives (FLIEGEN) 1001
(FLIEGEN) 1001         receives (FREYA2226) 2021
(FREYA2226) 2021       receives (GARG) 1372
(GARG) 1372            receives (POLO15) 729
(POLO15) 729           receives (ENDZITREBRON) 1448
(ENDZITREBRON) 1448    receives (BADO666) 1017
(BADO666) 1017         receives (ANIAW89) 475
(ANIAW89) 475          receives (GRIMCLASH) 1213
(GRIMCLASH) 1213       receives (BAAKA) 356
(BAAKA) 356            receives (RODAN77) 956
(RODAN77) 956          receives (KERUKR) 2017
(KERUKR) 2017          receives (STASZEK) 2616
(STASZEK) 2616         receives (PALMEREX) 1879
(PALMEREX) 1879        receives (BAAKA) 357
(BAAKA) 357            receives (PAGA54) 1187
(PAGA54) 1187          receives (GRYZLI83) 417
(GRYZLI83) 417         receives (BAAKA) 363
(BAAKA) 363            receives (LISEK2000) 1568
(LISEK2000) 1568       receives (PIECHOTAK) 1641
(PIECHOTAK) 1641       receives (LOUREDPL) 844
(LOUREDPL) 844         receives (OSTRY) 183
(OSTRY) 183            receives (LUKASHI) 586
(LUKASHI) 586          receives (FIUFEK) 69
(FIUFEK) 69            receives (MUDIABC) 1242
(MUDIABC) 1242         receives (MICHALPOLSKA) 367
(MICHALPOLSKA) 367     receives (MORMAKILL) 30
(MORMAKILL) 30         receives (IRONHAWK) 1223
(IRONHAWK) 1223        receives (APIEJH) 1650
(APIEJH) 1650          receives (COMFORT EAGLE) 862
(COMFORT EAGLE) 862    receives (FANTAZYN) 997
(FANTAZYN) 997         receives (KURUNIR) 689
(KURUNIR) 689          receives (PAROOS) 1753
