TradeMaximizer Version 1.4a
Options: ALLOW-DUMMIES LINEAR-PRIORITIES REQUIRE-COLONS REQUIRE-USERNAMES SHOW-MISSING SMALL-STEP=0 BIG-STEP=1

Input Checksum: f6e88476f9631b17f39845b97282611e
ERRORS:
**** Item %AEON_S_END_THE_NEW_AGE for user (PATRYKGALKA) is repeated in want list for 139.
**** Item %AEON_S_END_THE_NEW_AGE for user (PATRYKGALKA) is repeated in want list for 1665.
**** Item %CHARTERSTONE for user (CIUPAKABRA997) is repeated in want list for 540.
**** Item %CHARTERSTONE_CHARTERSTONE_RECHARGE_PACK for user (CIUPAKABRA997) is repeated in want list for 540.
**** Item %GRAND_AUSTRIA_HOTEL for user (JACEKBARBER) is repeated in want list for 1124.
**** Item %LUNA_CAPITAL for user (JACEKBARBER) is repeated in want list for 1117.
**** Item %MERCHANTS_OF_THE_DARK_ROAD for user (JACEKBARBER) is repeated in want list for 1124.
**** Item %NIDAVELLIR for user (JACEKBARBER) is repeated in want list for 1117.
**** Item %SEASONS for user (ROGATUSIEK) contains item 783 sender from the same user ((ROGATUSIEK))
**** Item 1622 is repeated in want list for 362.
**** Item 302 is repeated in want list for 1376.
**** Item 302 is repeated in want list for 1378.
**** Item 358 is repeated in want list for 212.
**** Item 515 is repeated in want list for 199.
**** Item 55 is repeated in want list for 273.
**** Item 55 is repeated in want list for 274.
**** Unknown item %SUSHI_GO for user (NOT2NIGHT) (1 occurrence)
**** Unknown item %THE_LORD_OF_THE_RINGS_JOURNEYS_IN_MIDDLE_EARTH_SHADOWED_PATHS_EXPANSION for user (LUKI1235) (2 occurrences)
**** Unknown item 100 (4 occurrences)
**** Unknown item 104 (21 occurrences)
**** Unknown item 112 (3 occurrences)
**** Unknown item 114 (2 occurrences)
**** Unknown item 115 (6 occurrences)
**** Unknown item 1624 (30 occurrences)
**** Unknown item 1625 (31 occurrences)
**** Unknown item 1634 (33 occurrences)
**** Unknown item 1644 (8 occurrences)
**** Unknown item 1645 (1 occurrence)
**** Unknown item 1646 (4 occurrences)
**** Unknown item 1647 (31 occurrences)
**** Unknown item 1648 (1 occurrence)
**** Unknown item 1649 (3 occurrences)
**** Unknown item 1651 (12 occurrences)
**** Unknown item 175 (4 occurrences)
**** Unknown item 178 (10 occurrences)
**** Unknown item 198 (2 occurrences)
**** Unknown item 202 (44 occurrences)
**** Unknown item 206 (1 occurrence)
**** Unknown item 210 (1 occurrence)
**** Unknown item 2227 (1 occurrence)
**** Unknown item 261306 (1 occurrence)
**** Unknown item 371 (22 occurrences)
**** Unknown item 373 (29 occurrences)
**** Unknown item 374 (2 occurrences)
**** Unknown item 376 (1 occurrence)
**** Unknown item 377 (3 occurrences)
**** Unknown item 568 (11 occurrences)
**** Unknown item 613 (90 occurrences)
**** Unknown item 735 (5 occurrences)
**** Unknown item 76 (8 occurrences)
**** Unknown item 77 (7 occurrences)
**** Unknown item 78 (2 occurrences)
**** Unknown item 79 (3 occurrences)
**** Unknown item 80 (3 occurrences)
**** Unknown item 81 (3 occurrences)
**** Unknown item 82 (3 occurrences)
**** Unknown item 83 (3 occurrences)
**** Unknown item 84 (5 occurrences)
**** Unknown item 89 (17 occurrences)
**** Unknown item 90 (9 occurrences)
**** Unknown item 91 (2 occurrences)
**** Unknown item 92 (6 occurrences)
**** Unknown item 93 (4 occurrences)
**** Unknown item 95 (1 occurrence)
**** Unknown item 96 (20 occurrences)
**** Unknown item 97 (66 occurrences)
**** Unknown item 98 (16 occurrences)

TRADE LOOPS (323 total trades):
(LEINADUS) 443         receives (PATT23R) 1220
(PATT23R) 1220         receives (FLAMASTER444) 395
(FLAMASTER444) 395     receives (RAGI74) 967
(RAGI74) 967           receives (ANIAW89) 322
(ANIAW89) 322          receives (RALFMARK) 1309
(RALFMARK) 1309        receives (BAGESE) 612
(BAGESE) 612           receives (COYOTUS01) 961
(COYOTUS01) 961        receives (MOOCKER) 438
(MOOCKER) 438          receives (PATRYKGALKA) 139
(PATRYKGALKA) 139      receives (ANIASIEK) 1611
(ANIASIEK) 1611        receives (RAFMIX) 512
(RAFMIX) 512           receives (SHAKQ) 1095
(SHAKQ) 1095           receives (CASONPL) 1003
(CASONPL) 1003         receives (PATRYKGALKA) 188
(PATRYKGALKA) 188      receives (PKOT80) 199
(PKOT80) 199           receives (JOLLYROGER90) 1605
(JOLLYROGER90) 1605    receives (PIECHU) 799
(PIECHU) 799           receives (RBSN) 904
(RBSN) 904             receives (SIPIO) 1209
(SIPIO) 1209           receives (STASZEK) 981
(STASZEK) 981          receives (DGRODO) 1227
(DGRODO) 1227          receives (CWIKS) 1408
(CWIKS) 1408           receives (UNKNOWN0) 306
(UNKNOWN0) 306         receives (RHINO055) 1133
(RHINO055) 1133        receives (TRINGA) 169
(TRINGA) 169           receives (ARPAMI) 1055
(ARPAMI) 1055          receives (BREGORZ) 1322
(BREGORZ) 1322         receives (PATRYKGALKA) 141
(PATRYKGALKA) 141      receives (QBALDUS1) 1452
(QBALDUS1) 1452        receives (ROGATUSIEK) 784
(ROGATUSIEK) 784       receives (WOJTOLINO) 1492
(WOJTOLINO) 1492       receives (ROGATUSIEK) 783
(ROGATUSIEK) 783       receives (KLOS_X) 1288
(KLOS_X) 1288          receives (WINSTER) 810
(WINSTER) 810          receives (KONTRABAS) 736
(KONTRABAS) 736        receives (MAJZOWNIK) 832
(MAJZOWNIK) 832        receives (WINSTER) 809
(WINSTER) 809          receives (ISKRANAPROCHY) 70
(ISKRANAPROCHY) 70     receives (UNKNOWN0) 305
(UNKNOWN0) 305         receives (MAAKUMAAKU) 1325
(MAAKUMAAKU) 1325      receives (SYDONIAA) 24
(SYDONIAA) 24          receives (TRINGA) 157
(TRINGA) 157           receives (GINET1) 62
(GINET1) 62            receives (PATRYKGALKA) 147
(PATRYKGALKA) 147      receives (LISEK2000) 1202
(LISEK2000) 1202       receives (PANCOR) 1675
(PANCOR) 1675          receives (WOJTOLINO) 1469
(WOJTOLINO) 1469       receives (PROBBI) 108
(PROBBI) 108           receives (TRINGA) 161
(TRINGA) 161           receives (FREYA2226) 877
(FREYA2226) 877        receives (PIECHU) 801
(PIECHU) 801           receives (SZUKASZ) 819
(SZUKASZ) 819          receives (LEINADUS) 702
(LEINADUS) 702         receives (ADDEKK1) 1673
(ADDEKK1) 1673         receives (BIGOSLFC) 1343
(BIGOSLFC) 1343        receives (WOJTOLINO) 1473
(WOJTOLINO) 1473       receives (RAZUL) 1631
(RAZUL) 1631           receives (UNKNOWN0) 293
(UNKNOWN0) 293         receives (PEPER777) 695
(PEPER777) 695         receives (FLAMASTER444) 390
(FLAMASTER444) 390     receives (WARHIR) 1053
(WARHIR) 1053          receives (PEPER777) 693
(PEPER777) 693         receives (MORKRET) 765
(MORKRET) 765          receives (FORDY2) 753
(FORDY2) 753           receives (WINSTER) 813
(WINSTER) 813          receives (JAKUBWAKIEC) 664
(JAKUBWAKIEC) 664      receives (CHARLIEVEGAN) 609
(CHARLIEVEGAN) 609     receives (JOANNAALICJA) 828
(JOANNAALICJA) 828     receives (ULUSIEK) 1336
(ULUSIEK) 1336         receives (CIUPAKABRA997) 543
(CIUPAKABRA997) 543    receives (HRACHUBI) 922
(HRACHUBI) 922         receives (OPULENTUS) 1450
(OPULENTUS) 1450       receives (KLOS_X) 1262
(KLOS_X) 1262          receives (CZARNOPYS) 12
(CZARNOPYS) 12         receives (CHARLIEVEGAN) 605
(CHARLIEVEGAN) 605     receives (ZIELAKK) 1148
(ZIELAKK) 1148         receives (GINET1) 63
(GINET1) 63            receives (WOJCIECHS) 745
(WOJCIECHS) 745        receives (ZIBIST) 843
(ZIBIST) 843           receives (KARTMAN7) 116
(KARTMAN7) 116         receives (SZCZEPAN89) 34
(SZCZEPAN89) 34        receives (STONEROCK) 360
(STONEROCK) 360        receives (KONTRABAS) 724
(KONTRABAS) 724        receives (JENNY70) 507
(JENNY70) 507          receives (STALKEROI) 944
(STALKEROI) 944        receives (DGRODO) 1081
(DGRODO) 1081          receives (ASPENNR) 248
(ASPENNR) 248          receives (PATRYKGALKA) 205
(PATRYKGALKA) 205      receives (SKUTERUS67) 310
(SKUTERUS67) 310       receives (ELBRYK) 1000
(ELBRYK) 1000          receives (WOJTOLINO) 1480
(WOJTOLINO) 1480       receives (STASZEK) 1048
(STASZEK) 1048         receives (JACEKBARBER) 1120
(JACEKBARBER) 1120     receives (JENNY70) 501
(JENNY70) 501          receives (KASZKIET) 1345
(KASZKIET) 1345        receives (JAKUBWAKIEC) 658
(JAKUBWAKIEC) 658      receives (UNKNOWN0) 297
(UNKNOWN0) 297         receives (RAFMIX) 496
(RAFMIX) 496           receives (ANIAW89) 320
(ANIAW89) 320          receives (RAZUL) 1642
(RAZUL) 1642           receives (KALAY) 369
(KALAY) 369            receives (ATOJEST) 331
(ATOJEST) 331          receives (PIVNITZ) 251
(PIVNITZ) 251          receives (FLAMASTER444) 380
(FLAMASTER444) 380     receives (FAKIRR) 1399
(FAKIRR) 1399          receives (SYDONIAA) 13
(SYDONIAA) 13          receives (RAFMIX) 511
(RAFMIX) 511           receives (PATT23R) 1221
(PATT23R) 1221         receives (PIOTRBORLIK) 514
(PIOTRBORLIK) 514      receives (PROPI) 508
(PROPI) 508            receives (CASONPL) 1013
(CASONPL) 1013         receives (RHINO055) 1138
(RHINO055) 1138        receives (ANIAW89) 321
(ANIAW89) 321          receives (PATRYKGALKA) 163
(PATRYKGALKA) 163      receives (GINET1) 58
(GINET1) 58            receives (XENIR) 1517
(XENIR) 1517           receives (TRINGA) 646
(TRINGA) 646           receives (ITSTHISGUYAGAIN) 525
(ITSTHISGUYAGAIN) 525  receives (ADDEKK1) 1652
(ADDEKK1) 1652         receives (RBSN) 901
(RBSN) 901             receives (STILICHON) 189
(STILICHON) 189        receives (CWIKS) 1419
(CWIKS) 1419           receives (PUASHEY90) 539
(PUASHEY90) 539        receives (NIDHOG) 916
(NIDHOG) 916           receives (STILICHON) 186
(STILICHON) 186        receives (WLSB) 1511
(WLSB) 1511            receives (POKET) 1298
(POKET) 1298           receives (BUKIMI) 548
(BUKIMI) 548           receives (ANOPTICHTYS) 1383
(ANOPTICHTYS) 1383     receives (BUKIMI) 552
(BUKIMI) 552           receives (BAAKA) 651
(BAAKA) 651            receives (PATRYKGALKA) 181
(PATRYKGALKA) 181      receives (WOJTOLINO) 1485
(WOJTOLINO) 1485       receives (NUMERNABIS) 1344
(NUMERNABIS) 1344      receives (PIECHU) 788
(PIECHU) 788           receives (JACEKBARBER) 1130
(JACEKBARBER) 1130     receives (PATRYKGALKA) 165
(PATRYKGALKA) 165      receives (MISIENCJUSZ) 279
(MISIENCJUSZ) 279      receives (RAGI74) 950
(RAGI74) 950           receives (WAGNER123) 275
(WAGNER123) 275        receives (WLSB) 1512
(WLSB) 1512            receives (ATOJEST) 332
(ATOJEST) 332          receives (CORRAN) 486
(CORRAN) 486           receives (CIUPAKABRA997) 540
(CIUPAKABRA997) 540    receives (RAZUL) 1632
(RAZUL) 1632           receives (FREYA2226) 879
(FREYA2226) 879        receives (MADZIALENA7) 1197
(MADZIALENA7) 1197     receives (MEFIUG) 863
(MEFIUG) 863           receives (ROGATUSIEK) 785
(ROGATUSIEK) 785       receives (SYDONIAA) 28
(SYDONIAA) 28          receives (JACEKBARBER) 1116
(JACEKBARBER) 1116     receives (STONEROCK) 361
(STONEROCK) 361        receives (WARHIR) 1051
(WARHIR) 1051          receives (KAMINOINNOCENT) 1068
(KAMINOINNOCENT) 1068  receives (MAJZOWNIK) 834
(MAJZOWNIK) 834        receives (RAZUL) 1633
(RAZUL) 1633           receives (NIEDZIELNYPIONEK) 846
(NIEDZIELNYPIONEK) 846 receives (FRAMZ_PL) 1250
(FRAMZ_PL) 1250        receives (MAJZOWNIK) 831
(MAJZOWNIK) 831        receives (STILICHON) 200
(STILICHON) 200        receives (WINSTER) 352
(WINSTER) 352          receives (ISKRANAPROCHY) 68
(ISKRANAPROCHY) 68     receives (CIUPAKABRA997) 1033
(CIUPAKABRA997) 1033   receives (APRIEL) 582
(APRIEL) 582           receives (MAJZOWNIK) 837
(MAJZOWNIK) 837        receives (DETRYTUS) 1379
(DETRYTUS) 1379        receives (PEPER777) 698
(PEPER777) 698         receives (RAGI74) 975
(RAGI74) 975           receives (PANCOR) 1705
(PANCOR) 1705          receives (RAZUL) 1638
(RAZUL) 1638           receives (KONTRABAS) 737
(KONTRABAS) 737        receives (RBSN) 905
(RBSN) 905             receives (MZEPTER) 557
(MZEPTER) 557          receives (HARDKOR) 44
(HARDKOR) 44           receives (COYOTUS01) 965
(COYOTUS01) 965        receives (ANOPTICHTYS) 1043
(ANOPTICHTYS) 1043     receives (BORYSX) 867
(BORYSX) 867           receives (UNKNOWN0) 302
(UNKNOWN0) 302         receives (WAPNIAK) 694
(WAPNIAK) 694          receives (_SLY_) 598
(_SLY_) 598            receives (RALFMARK) 1310
(RALFMARK) 1310        receives (PANCOR) 1695
(PANCOR) 1695          receives (PAWLIK) 448
(PAWLIK) 448           receives (WYLIX) 1034
(WYLIX) 1034           receives (FLAMASTER444) 396
(FLAMASTER444) 396     receives (UNKNOWN0) 304
(UNKNOWN0) 304         receives (GINET1) 59
(GINET1) 59            receives (_BARD_) 1535

(ADAQ30) 621           receives (STONEROCK) 359
(STONEROCK) 359        receives (PET78) 744
(PET78) 744            receives (STASZEK) 1306
(STASZEK) 1306         receives (JAGASTR) 1656
(JAGASTR) 1656         receives (CYMBRO) 1378
(CYMBRO) 1378          receives (PIVNITZ) 253
(PIVNITZ) 253          receives (OSTRY) 37
(OSTRY) 37             receives (ANOPTICHTYS) 1008
(ANOPTICHTYS) 1008     receives (RALFMARK) 1313
(RALFMARK) 1313        receives (PIECHU) 941
(PIECHU) 941           receives (PIOTRBORLIK) 434
(PIOTRBORLIK) 434      receives (FREYA2226) 881
(FREYA2226) 881        receives (KONTRABAS) 726
(KONTRABAS) 726        receives (PIECHU) 410
(PIECHU) 410           receives (NUMERNABIS) 1275
(NUMERNABIS) 1275      receives (SILLUE) 1529
(SILLUE) 1529          receives (ZIELAKK) 1193
(ZIELAKK) 1193         receives (VORONWE) 534
(VORONWE) 534          receives (JENNY70) 237
(JENNY70) 237          receives (PANCOR) 1666
(PANCOR) 1666          receives (PATRYKGALKA) 152
(PATRYKGALKA) 152      receives (GREKOL) 719
(GREKOL) 719           receives (WOJTOLINO) 1491
(WOJTOLINO) 1491       receives (DARKERSIDE) 1530
(DARKERSIDE) 1530      receives (WOTHAN) 439
(WOTHAN) 439           receives (WARENHARI) 1112
(WARENHARI) 1112       receives (GABENS29) 1388
(GABENS29) 1388        receives (JACEKBARBER) 1126
(JACEKBARBER) 1126     receives (EYEDRAGON) 586
(EYEDRAGON) 586        receives (GREENGOO71) 766
(GREENGOO71) 766       receives (RAZUL) 1628
(RAZUL) 1628           receives (KMET) 527
(KMET) 527             receives (MIZIO) 1433
(MIZIO) 1433           receives (XENIR) 1515
(XENIR) 1515           receives (CORTUMPL) 577
(CORTUMPL) 577         receives (RENEG8D) 1479
(RENEG8D) 1479         receives (STASZEK) 976
(STASZEK) 976          receives (FLAMASTER444) 397
(FLAMASTER444) 397     receives (MORMAKILL) 458
(MORMAKILL) 458        receives (BORYSX) 1180
(BORYSX) 1180          receives (MEFIUG) 864
(MEFIUG) 864           receives (ANOPTICHTYS) 1006
(ANOPTICHTYS) 1006     receives (RAZUL) 1639
(RAZUL) 1639           receives (KMET) 524
(KMET) 524             receives (PATT23R) 1217
(PATT23R) 1217         receives (PIECHU) 800
(PIECHU) 800           receives (IRON84) 1617
(IRON84) 1617          receives (PANCOR) 1712
(PANCOR) 1712          receives (LOUREDPL) 453
(LOUREDPL) 453         receives (RENEGAT89) 273
(RENEGAT89) 273        receives (KASZKIET) 1358
(KASZKIET) 1358        receives (ADAQ30) 621

(ANIOL1979) 1392       receives (NOGUSS) 102
(NOGUSS) 102           receives (ANIOL1979) 1392

(ANOPTICHTYS) 1039     receives (APIEJH) 908
(APIEJH) 908           receives (TOPBGG) 986
(TOPBGG) 986           receives (JACEKBARBER) 1119
(JACEKBARBER) 1119     receives (WINSTER) 1212
(WINSTER) 1212         receives (RAGI74) 952
(RAGI74) 952           receives (COEN098) 1636
(COEN098) 1636         receives (UNKNOWN0) 774
(UNKNOWN0) 774         receives (PATT23R) 1223
(PATT23R) 1223         receives (ANOPTICHTYS) 1039

(CORRAN) 1401          receives (DAWTA) 259
(DAWTA) 259            receives (ZAWATERNIOK) 325
(ZAWATERNIOK) 325      receives (CORRAN) 1401

(KRASNY853) 1597       receives (LOUREDPL) 452
(LOUREDPL) 452         receives (KRASNY853) 1597

ITEM SUMMARY (323 total trades):

(ADAQ30) 621           receives (STONEROCK) 359        and sends to (KASZKIET) 1358
(ADAQ30) 622                       does not trade
(ADAQ30) 625                       does not trade
(ADAQ30) 629                       does not trade
(ADDEKK1) 1519                     does not trade
(ADDEKK1) 1520                     does not trade
(ADDEKK1) 1521         receives (LEINADUS) 656         and sends to (PANCOR) 1669
(ADDEKK1) 1522                     does not trade
(ADDEKK1) 1525         receives (BARTP) 1413           and sends to (VENOSTHE) 382
(ADDEKK1) 1652         receives (RBSN) 901             and sends to (ITSTHISGUYAGAIN) 525
(ADDEKK1) 1670                     does not trade
(ADDEKK1) 1673         receives (BIGOSLFC) 1343        and sends to (LEINADUS) 702
(ADDEKK1) 1676                     does not trade
(ADDEKK1) 755                      does not trade
(AKWAMARYNOWY) 1300                does not trade
(AKWAMARYNOWY) 52                  does not trade
(AKWAMARYNOWY) 56                  does not trade
(AKWAMARYNOWY) 57                  does not trade
(ALUCARD8282) 888                  does not trade
(ALUCARD8282) 890                  does not trade
(ALUCARD8282) 891                  does not trade
(ALUCARD8282) 892                  does not trade
(ANAMAN) 333                       does not trade
(ANIASIEK) 1608                    does not trade
(ANIASIEK) 1609                    does not trade
(ANIASIEK) 1610                    does not trade
(ANIASIEK) 1611        receives (RAFMIX) 512           and sends to (PATRYKGALKA) 139
(ANIAW89) 312                      does not trade
(ANIAW89) 316                      does not trade
(ANIAW89) 319          receives (PATRYKGALKA) 176      and sends to (KERUKR) 1444
(ANIAW89) 320          receives (RAZUL) 1642           and sends to (RAFMIX) 496
(ANIAW89) 321          receives (PATRYKGALKA) 163      and sends to (RHINO055) 1138
(ANIAW89) 322          receives (RALFMARK) 1309        and sends to (RAGI74) 967
(ANIAW89) 323                      does not trade
(ANIAW89) 324          receives (PANCOR) 1669          and sends to (PATT23R) 1216
(ANIOL1979) 1384                   does not trade
(ANIOL1979) 1390                   does not trade
(ANIOL1979) 1391                   does not trade
(ANIOL1979) 1392       receives (NOGUSS) 102           and sends to (NOGUSS) 102
(ANIOL1979) 1616                   does not trade
(ANOPTICHTYS) 1002                 does not trade
(ANOPTICHTYS) 1004                 does not trade
(ANOPTICHTYS) 1005                 does not trade
(ANOPTICHTYS) 1006     receives (RAZUL) 1639           and sends to (MEFIUG) 864
(ANOPTICHTYS) 1007                 does not trade
(ANOPTICHTYS) 1008     receives (RALFMARK) 1313        and sends to (OSTRY) 37
(ANOPTICHTYS) 1009                 does not trade
(ANOPTICHTYS) 1010                 does not trade
(ANOPTICHTYS) 1011                 does not trade
(ANOPTICHTYS) 1012                 does not trade
(ANOPTICHTYS) 1014                 does not trade
(ANOPTICHTYS) 1038                 does not trade
(ANOPTICHTYS) 1039     receives (APIEJH) 908           and sends to (PATT23R) 1223
(ANOPTICHTYS) 1040                 does not trade
(ANOPTICHTYS) 1041     receives (GINET1) 67            and sends to (KLOS_X) 1285
(ANOPTICHTYS) 1042                 does not trade
(ANOPTICHTYS) 1043     receives (BORYSX) 867           and sends to (COYOTUS01) 965
(ANOPTICHTYS) 1044                 does not trade
(ANOPTICHTYS) 1045                 does not trade
(ANOPTICHTYS) 1046                 does not trade
(ANOPTICHTYS) 1047                 does not trade
(ANOPTICHTYS) 1070                 does not trade
(ANOPTICHTYS) 1071     receives (FRAMZ_PL) 1253        and sends to (UNKNOWN0) 295
(ANOPTICHTYS) 1072     receives (WINSTER) 358          and sends to (STILICHON) 196
(ANOPTICHTYS) 1073                 does not trade
(ANOPTICHTYS) 1104                 does not trade
(ANOPTICHTYS) 1380                 does not trade
(ANOPTICHTYS) 1381                 does not trade
(ANOPTICHTYS) 1382                 does not trade
(ANOPTICHTYS) 1383     receives (BUKIMI) 552           and sends to (BUKIMI) 548
(ANOPTICHTYS) 1385                 does not trade
(ANOPTICHTYS) 1386                 does not trade
(ANOPTICHTYS) 1387                 does not trade
(APIEJH) 908           receives (TOPBGG) 986           and sends to (ANOPTICHTYS) 1039
(APRIEL) 581                       does not trade
